識別號,台語音標,國際音標,白話字,台羅音標,閩拼方案,方音符號,十五音,十五音序,舒促聲,十五音識別碼
88,uaihnn,uãĩ?,oaiⁿh,uainnh,nuaih,ㄨㆮㆷ,閂,44,促聲,閂促
89,uenn,uẽ,oeⁿ,uenn,nue,ㄨㆥ,糜,45,舒聲,糜舒
90,,,,,,,糜,45,促聲,糜促
91,iaunn,ĩãũ,iauⁿ,iaunn,niao,ㄧㆯ,嘄,46,舒聲,嘄舒
92,iauhnn,ĩãũ?,iauⁿh,iaunnh,niaoh,ㄧㆯㆷ,嘄,46,促聲,嘄促
93,om,ɔm,om,om,om,ㆱ,箴,47,舒聲,箴舒
94,op,ɔp̚,op,op,op,ㆦㆴ,箴,47,促聲,箴促
95,aunn,ãũ,auⁿ,aunn,nao,ㆯ,爻,48,舒聲,爻舒
96,,,,,,,爻,48,促聲,爻促
97,onn,õ,oⁿ,onn,noo,ㆧ,扛,49,舒聲,扛舒
98,ohnn,õh,oⁿh,onnh,nooh,ㆧㆷ,扛,49,促聲,扛促
99,iunn,iũ,iuⁿ,iunn,niu,ㄧㆫ,牛,50,舒聲,牛舒
100,,,,,,,牛,50,促聲,牛促
