識別號,漢字,聲母,韻母,聲調,常用度,台語音標聲母,台語音標韻母,台語音標拼音,方音符號聲母,方音符號韻母,方音符號注音,聲母識別碼,韻母識別碼,聲調識別碼
81,村,出,君,上平,0.01 ,c,un,cun1,ㄘ,ㄨㄣ,ㄘㄨㄣ1,14,1,1
82,邨,出,君,上平,0.01 ,c,un,cun1,ㄘ,ㄨㄣ,ㄘㄨㄣ1,14,1,1
83,萅,出,君,上平,0.01 ,c,un,cun1,ㄘ,ㄨㄣ,ㄘㄨㄣ1,14,1,1
84,𣈤,出,君,上平,,c,un,cun1,ㄘ,ㄨㄣ,ㄘㄨㄣ1,14,1,1
85,分,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
86,昏,喜,君,上平,0.01 ,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
87,昬,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
88,婚,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
89,惛,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
90,惽,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
91,閽,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
92,熏,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
93,薰,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
94,燻,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
95,曛,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
96,矄,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
97,醺,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
98,獯,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
99,臐,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
100,塤,喜,君,上平,0.01 ,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
101,壎,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
102,勳,喜,君,上平,0.01 ,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
103,勛,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
104,葷,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
105,煇,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
106,焄,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
