序,攝,韻,調,等,呼,韻母,台羅,擬音,切語下字
103,山,先,入,四,開,屑開,iat,[-iet],結 屑 蔑
104,山,先,入,四,合,屑合,iat,[-iwet],決 穴
105,效,豪,平,一,開,豪,o/au,[-ɑu],刀 勞 毛 袍 牢 遭 襃 曹 老 浩 晧 早 道 抱 到 導 報 耗
106,效,肴,平,二,開,肴,au,[-au],茅 肴 交 嘲 絞 巧 飽 爪 敎 孝 皃 稍
107,效,宵,平,三,開,宵,iau,[-ĭɛu],邀 宵 遙 嬌 焦 消 招 昭 兆 小 少 沼 妙 照 𥬇 肖 召 要
108,效,宵A,平,三,開,宵A,iau,[-ĭɛu],遙 招 霄 小 少 沼 妙 𥬇 召 要
109,效,宵B,平,三,開,宵B,iau,[-ĭɛu],嬌 喬 瀌 嚻 兆 夭 表 廟 召
110,效,蕭,平,四,開,蕭,iau,[-ĭɛu],彫 聊 堯 蕭 幺 鳥 了 皛 皎 弔 嘯 叫
111,果,歌,平,一,開,歌,o,[-ɑ],俄 何 河 歌 我 可 賀 箇 佐 个 邏
112,果,戈,平,一,合,戈一合,o,[-uɑ],禾 戈 波 和 婆 可 火 果 卧 過 貨 臥 唾
113,果,戈,平,三,開,戈三開,o,[-ĭɑ],迦 伽
114,果,戈,平,三,合,戈三合,o,[-ĭuɑ],𦚢 靴 伽 𩨷 瓦
115,假,麻,平,二,開,麻二開,a,[-a],霞 加 牙 巴 下 疋 雅 賈 駕 訝 嫁 亞
116,假,麻,平,二,合,麻二合,ua,[-wa],花 華 瓜 瓦 寡 化 霸 罵 㕦
117,假,麻,平,三,開,麻三開,ia,[-ĭa],遮 車 奢 邪 嗟 賒 也 者 野 姐 冶 夜 謝
118,宕,唐,平,一,開,唐開,ong,[-ɑŋ],郎 當 岡 光 剛 旁 朗 黨 浪 宕 曠
119,宕,唐,平,一,合,唐合,ong,[-uɑŋ],光 黃 晃 廣 浪 曠 謗
120,宕,陽,平,三,開,陽開,ong,[-ĭaŋ],章 羊 張 良 陽 莊 兩 㢡 丈 掌 亮 讓 樣 向
121,宕,陽,平,三,合,陽合,ong,[-ĭwaŋ],良 方 王 兩 往 网 昉 養 亮 放 訪 況 妄
122,梗,庚,平,二,開,庚二開,ing,[-ɐŋ],行 庚 盲 杏 梗 幸 猛 冷 打 敬 孟 更
123,梗,庚,平,二,合,庚二合,ing,[-wɐŋ],盲 橫 猛 䁝 礦 孟
124,梗,庚,平,三,開,庚三開,ing,[-ĭɐŋ],驚 兵 卿 明 京 永 影 丙 景 敬 慶 病 命
125,梗,庚,平,三,合,庚三合,ing,[-ĭwɐŋ],兵 榮 永 憬 命
126,梗,耕,平,二,開,耕開,ing,[-æŋ],莖 耕 萌 幸 耿 迸 諍 爭
127,梗,耕,平,二,合,耕合,ing,[-wæŋ],萌 宏 迸
128,梗,清,平,三,開,清開,ing,[-ĭɛŋ],情 盈 成 貞 征 郢 整 靜 井 正 政 盛 鄭 姓
129,梗,清,平,三,合,清合,ing,[-ĭwɛŋ],傾 營 頃
130,梗,清A,平,三,開,清A開,ing,[-ĭɛŋ],盈 成 并 郢 井 正 政 令
131,梗,清A,平,三,合,清A合,ing,[-ĭwɛŋ],營 潁 正
132,梗,青,平,四,開,青開,ing,[-ieŋ],經 靈 丁 刑 頂 迥 挺 鼎 醒 涬 剄 定 佞 徑
133,梗,青,平,四,合,青合,ing,[-iweŋ],扃 螢 頂 迥 定
134,曾,登,平,一,開,登開,ing,[-əŋ],滕 登 增 棱 崩 恒 朋 肯 等 鄧 亘 隥 贈
135,曾,登,平,一,合,登合,ing,[-uəŋ],肱 弘
