識別號,廣韻小字序,漢字,字義摘要
476,50.6,𧴄,獸似牛領有肉也
477,50.7,㺎,並上同
478,50.8,𤛑,並上同
479,50.9,墉,城也垣也
480,50.1,鎔,鎔鑄
481,50.11,鏞,大鐘
482,50.12,銿,上同≆說文與鐘同
483,50.13,鄘,國名
484,50.14,傭,傭賃又丑凶切
485,50.15,𪅟,𪅟𪆫鳥名似鴨雞足也
486,50.16,㼸,甖也
487,50.17,𤮇,魚名又音慵
488,50.18,鱅,魚名又音慵
489,50.19,蓉,芙蓉
490,50.2,䗤,䖺䗤色如黃蛇有羽
491,50.21,傛,傛華縣也又漢書婦官有傛華
492,50.22,褣,𧝎褣
493,50.23,搈,不安
494,50.24,瑢,瑽瑢佩玉行也
495,50.25,䈶,䈶䇯又矢
496,50.26,嵱,山名在容州山下有〾鬼市
497,50.27,頌,形頌又似用切
498,50.28,㝐,㝐盛也≆說文云古文容
499,50.29,䡆,車行皃
500,50.3,㟾,㟾山在建州
501,50.31,𨲟,餝𨲟
502,50.32,𪃾,𪃾鸀
503,50.33,槦,㮧槦木中箭笴
504,50.34,㣑,重影一曰䙹㣑
505,50.35,𢧳,𢧳戣兵器
506,51.1,封,大也國也厚也爵也亦姓望出渤海本姜姓炎帝之後封鉅爲黃帝師又望出河南後魏官氏志云是賁氏後改爲封氏府容切五
507,51.2,𡉚,古文
508,51.3,犎,野牛
509,51.4,葑,菜名詩云采葑采菲
510,51.5,崶,山名一名龍門山在封州大魚上化爲龍上不得㸃額流血水[謂/謂]丹色也
511,52.1,胷,膺也亦作匈𦙄許容切十
512,52.2,凶,凶禍
513,52.3,𣧑,古文
514,52.4,銎,懼也又斤斧柄孔又曲恭切
515,52.5,洶,水勢也
516,52.6,恟,懼也
517,52.7,𧧗,訟也
518,52.8,兇,惡也
519,52.9,訩,衆語
520,52.1,匈,匈奴
521,53.1,顒,仰也爾雅云顒顒邛邛君之德也≆說文云大頭也魚容切四
522,53.2,𩤛,上同見廣蒼
523,53.3,鰅,魚名≆說文曰皮有文出樂浪又音隅
524,53.4,喁,噞喁
525,54.1,邕,≆說文曰四方有水自邕成池者是也於容切十六
