識別號,韻目識別號,韻目列號,攝,四聲調號,調,目次,韻目,韻類,等呼,等,呼,韻母,韻目標音對照識別,韻母標音,切語下字集,備註
87,134,22,臻,3,去,去22稕,稕,稕,合細,3,開,22合細,32,un,閏峻順,
88,179,22,臻,4,入,入06術,術,術,合細,3,開,22合細,32,ut,術律聿卹率,
89,19,23,臻,1,平,上平19臻,臻,臻,開洪,2,開,23開洪,33,in,詵臻,
90,135,23,臻,3,去,去23齔,齔,齔,開洪,2,開,23開洪,33,in,,無切語
91,180,23,臻,4,入,入07櫛,櫛,櫛,開洪,2,開,23開洪,33,it,瑟櫛,
92,20,24,臻,1,平,上平20文,文,文,合細,3,開,24合細,34,un,云分文,
93,75,24,臻,2,上,上18吻,吻,吻,合細,3,開,24合細,34,un,粉吻,
94,136,24,臻,3,去,去24問,問,問,合細,3,開,24合細,34,un,運問,
95,181,24,臻,4,入,入08物,物,物,合細,3,開,24合細,34,ut,弗物勿,
96,21,25,臻,1,平,上平21殷,殷,殷,開細,3,開,25開細,35,in,斤欣,
97,76,25,臻,2,上,上19隱,隱,隱,開細,3,開,25開細,35,in,謹隱槿,
98,137,25,臻,3,去,去25焮,焮,焮,開細,3,開,25開細,35,in,焮靳,
99,182,25,臻,4,入,入09迄,迄,迄,開細,3,開,25開細,35,it,乞迄訖,
100,22,26,臻,1,平,上平22元,元,元一,開細,3,開,26開細,36,ian,言軒,
101,22,26,臻,1,平,上平22元,元,元二,合細,3,合,26合細,37,uan,袁元煩,
102,77,26,臻,2,上,上20阮,阮,阮一,開細,3,開,26開細,36,ian,偃幰,
103,77,26,臻,2,上,上20阮,阮,阮二,合細,3,合,26合細,37,uan,阮遠晚,
104,138,26,臻,3,去,去26願,願,願一,開細,3,開,26開細,36,ian,堰建,
105,138,26,臻,3,去,去26願,願,願二,合細,3,合,26合細,37,uan,願怨万販,
106,183,26,臻,4,入,入10月,月,月一,開細,3,開,26開細,36,iat,訐竭謁歇,
107,183,26,臻,4,入,入10月,月,月二,合細,3,合,26合細,37,uat,厥越月伐發,
108,23,27,臻,1,平,上平23魂,魂,魂,合洪,1,開,27合洪,38,ut,昆尊渾魂奔,
109,78,27,臻,2,上,上21混,混,混,合洪,1,開,27合洪,38,ut,損袞衮忖本,
110,139,27,臻,3,去,去27慁,慁,慁,合洪,1,開,27合洪,38,ut,困寸悶,
111,184,27,臻,4,入,入11沒,沒,沒,合洪,1,開,27合洪,38,ut,骨忽没沒勃,
112,24,28,臻,1,平,上平24痕,痕,痕,開洪,1,開,28開洪,39,un,根痕恩,
113,79,28,臻,2,上,上22很,很,很,開洪,1,開,28開洪,39,un,墾很,
114,140,28,臻,3,去,去28恨,恨,恨,開洪,1,開,28開洪,39,un,艮恨,
115,185,28,臻,4,入,入12麧,麧,麧,開洪,1,開,28開洪,39,ut,,
116,25,29,山,1,平,上平25寒,寒,寒,開洪,1,開,29開洪,40,an,安寒干,
117,80,29,山,2,上,上23旱,旱,旱,開洪,1,開,29開洪,40,an,笴旱但,
118,141,29,山,3,去,去29翰,翰,翰,開洪,1,開,29開洪,40,an,旱案贊賛按旦旰憚,
119,186,29,山,4,入,入13曷,曷,曷,開洪,1,開,29開洪,40,at,葛曷割達,
120,26,30,山,1,平,上平26桓,桓,桓,合洪,1,合,30合洪,41,uan,官丸端潘袁元煩,
121,81,30,山,2,上,上24緩,緩,緩,合洪,1,合,30合洪,41,uan,管伴滿緩纂,
122,142,30,山,3,去,去30換,換,換,合洪,1,合,30合洪,41,uan,換喚玩段貫筭亂半幔,
