識別號,廣韻聲母識別號,七聲類,發音部位,聲母,清濁,發送收,聲母拼音碼,切語上字集,備註,廣韻聲母,聲母碼,聲母國際音標,白話字聲母,閩拼聲母,台羅聲母,方音聲母,十五音聲母
28,36,齒音,正齒近齒頭,初,次清,送氣,ch,初楚創瘡測叉廁厠芻,,初,ch,ʦʰ,chh,c,tsh,ㄘ,出
29,37,齒音,正齒近舌上,昌,次清,送氣,ch,昌尺赤充處叱春姝,,昌,ch,ʦʰ,chh,c,tsh,ㄘ,出
30,20,齒音,正齒近齒頭,崇,全濁,,c,雛鶵犲査查崇助鉏崱士仕鋤,,崇,c,ʦ,ch,z,ts,ㄗ,曾
31,21,齒音,正齒近舌上,俟,全濁,送氣,c,俟床牀,,俟,c,ʦ,ch,z,ts,ㄗ,曾
32,25,齒音,正齒近齒頭,生,全清,送氣,s,踈山沙砂生色數所史䟽疏,,生,s,s,s,s,s,ㄙ,時
33,26,齒音,正齒近舌上,書,全清,送氣,s,書舒傷商施失矢試式識賞詩釋始,,書,s,s,s,s,s,ㄙ,時
34,27,齒音,正齒近齒頭,禪,全濁,送氣,s,時殊嘗甞常蜀市植殖寔署臣是氏視成承十,,禪,s,s,s,s,s,ㄙ,時
35,28,齒音,正齒近舌上,船,全濁,送氣,s,神乗食實,,船,s,s,s,s,s,ㄙ,時
36,29,喉音,喉音,影,全清,發聲,Ø,於央憶伊衣依憂一乙握謁紆挹烏哀安烟鷖愛委,,影,Ø,,,,,,英
37,41,喉音,喉音,曉,次清,送氣,h,呼荒虎馨火海呵香朽羲休況况許興喜虛虚花,,曉,h,h,h,h,h,ㄏ,喜
38,42,喉音,喉音,匣,全濁,送氣,h,胡乎侯戶戸下黃何獲懷,,匣,h,h,h,h,h,ㄏ,喜
39,30,喉音,喉音,以,次濁,發聲,Ø,余餘予夷以羊弋翼與營移悅,,以,Ø,,,,,,英
40,31,喉音,喉音,云,次濁,發聲,Ø,于羽雨雲云王韋永有薳為爲洧筠榮,,云,Ø,,,,,,英
41,3,半舌音,半舌,來,次濁,收聲,l,來盧賴洛落勒力林呂吕良離里郎魯練縷連,,來,l,l,l,l,l,ㄌ,柳
42,22,半齒音,半齒,日,次濁,收聲,j,如汝儒人而仍兒耳,,日,j,ʣ,j,zz,j,ㆡ,入
