漢字識別號,字,字義,小韻識別號,小韻字,小韻切語,小韻標音,小韻目次,廣韻聲母,聲母碼,七聲類,發音部位,清濁,發送收,廣韻韻母,韻母碼,攝,韻系,韻目,調,呼,等,等呼
5634,琱,琱琢,650,貂,都聊,tiau1,2.03蕭,端,t,舌音,舌頭音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5635,凋,凋落,650,貂,都聊,tiau1,2.03蕭,端,t,舌音,舌頭音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5636,鯛,魚名,650,貂,都聊,tiau1,2.03蕭,端,t,舌音,舌頭音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5637,䂏,短尾犬也,650,貂,都聊,tiau1,2.03蕭,端,t,舌音,舌頭音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5638,雕,鶚屬又姓漢武帝功臣表有雕延年,650,貂,都聊,tiau1,2.03蕭,端,t,舌音,舌頭音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5639,鵰,籀文,650,貂,都聊,tiau1,2.03蕭,端,t,舌音,舌頭音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5640,蛁,蛁蟟𦭘中小蟲,650,貂,都聊,tiau1,2.03蕭,端,t,舌音,舌頭音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5641,彫,彫刻亦作雕,650,貂,都聊,tiau1,2.03蕭,端,t,舌音,舌頭音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5642,𧜣,≆說文云短衣也,650,貂,都聊,tiau1,2.03蕭,端,t,舌音,舌頭音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5643,𧘨,死人衣,650,貂,都聊,tiau1,2.03蕭,端,t,舌音,舌頭音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5644,䒒,葦華也又音調,650,貂,都聊,tiau1,2.03蕭,端,t,舌音,舌頭音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5645,𦶌,𦶌葫茭實,650,貂,都聊,tiau1,2.03蕭,端,t,舌音,舌頭音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5646,𦨣,吳船,650,貂,都聊,tiau1,2.03蕭,端,t,舌音,舌頭音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5647,𩾗,𩾗鷯剖葦求蟲食似雀靑班色,650,貂,都聊,tiau1,2.03蕭,端,t,舌音,舌頭音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5648,㚋,大也多也,650,貂,都聊,tiau1,2.03蕭,端,t,舌音,舌頭音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5649,奝,上同,650,貂,都聊,tiau1,2.03蕭,端,t,舌音,舌頭音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5650,弴,天子弓也≆說文曰畫弓也詩又作敦又丁昆切,490,敦,都昆,tun1,1.23魂,端,t,舌音,舌頭音,全清,發聲,魂合3舒聲,un,臻,魂,魂,平,合,3,合洪
5651,瞗,熟視,650,貂,都聊,tiau1,2.03蕭,端,t,舌音,舌頭音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5652,迢,迢遰徒聊切二十二,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5653,條,小枝也貫也敎也爾雅云柚條似橙而實酸又姓左傳殷人七族有條氏後趙録冉閔司空條攸姓苑云安定人,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5654,樤,柚條或從木,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5655,髫,小兒髮俗作齠,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5656,跳,躍也,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5657,鋚,紖頭銅飾,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5658,𧌁,䖺䗤狀如黃蛇魚翼出入有光見則大旱出山海經,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5659,蜩,大蟬,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5660,佻,獨行皃詩曰佻佻公子,649,祧,吐彫,thiau1,2.03蕭,透,th,舌音,舌頭音,次清,送氣,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5661,趒,≆說文曰雀行也,649,祧,吐彫,thiau1,2.03蕭,透,th,舌音,舌頭音,次清,送氣,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5662,苕,苕菜詩云卭有旨苕,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5663,芀,葦華,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5664,調,和也又姓周禮有調人其後氏焉又徒料切,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5665,鮡,魚名,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5666,岧,岧嶤山髙皃,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5667,䯾,多髮皃又音凋音綢,650,貂,都聊,tiau1,2.03蕭,端,t,舌音,舌頭音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5668,䩦,革轡詩云䩦革沖沖,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5669,嬥,聲類云細腰皃,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5670,𠤼,田器,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5671,𣬸,𣬸㲖毛皃,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5672,𠧪,草木實垂𠧪𠧪然也,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5673,鰷,白鰷魚名,651,迢,徒聊,tiau5,2.03蕭,定,t,舌音,舌頭音,全濁,,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5674,驍,驍武也古堯切九,652,驍,古堯,kiau1,2.03蕭,見,k,牙音,牙音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5675,梟,≆說文云不孝鳥也故日至捕梟磔之从鳥頭在木上又姓隋煬帝誅楊𤣥感改其姓爲梟氏,652,驍,古堯,kiau1,2.03蕭,見,k,牙音,牙音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5676,𥄉,到懸首漢書曰三族令先黥劓斬左右趾𥄉首葅其骨謂之具五刑,652,驍,古堯,kiau1,2.03蕭,見,k,牙音,牙音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5677,澆,沃也薄也,652,驍,古堯,kiau1,2.03蕭,見,k,牙音,牙音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5678,憿,憿幸或作儌又作僥倖,652,驍,古堯,kiau1,2.03蕭,見,k,牙音,牙音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5679,釗,覿也逺也亦弩關一云周康王名又作䙼又指遥切,652,驍,古堯,kiau1,2.03蕭,見,k,牙音,牙音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5680,邀,遮也又於宵切,652,驍,古堯,kiau1,2.03蕭,見,k,牙音,牙音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5681,蟂,水蟲似蛇四足能害人也,652,驍,古堯,kiau1,2.03蕭,見,k,牙音,牙音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5682,徼,求也抄也又音叫,652,驍,古堯,kiau1,2.03蕭,見,k,牙音,牙音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5683,聊,語助也亦姓風俗通有聊倉爲漢侍中著子書又有聊氏爲潁川太守著萬姓譜落蕭切四十二,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5684,𦗖,耳中鳴也又力刀切,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5685,膋,腸閒脂也,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5686,膫,上同,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5687,飉,風也,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5688,遼,逺也又水名,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5689,憀,無憀賴也,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5690,竂,穿也,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5691,寥,空也又寂寥也寥廓也,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5692,料,料理也量也又郎弔切,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5693,㙩,周垣,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5694,橑,蓋骨亦椽也又力道切,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5695,撩,取物又理也,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5696,摷,擊也又側交切,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5697,廖,人名左傳有辛伯廖又力救切,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5698,僚,同官爲僚又姓左傳晉陽氏大夫僚安,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5699,寮,上同,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5700,鐐,有孔鑪又紫磨金也爾雅曰白金曰銀其美謂之鐐,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5701,簝,宗廟盛肉方竹器,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5702,豂,空谷,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5703,鷯,鷦鷯,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5704,𥲊,竹名,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5705,璙,玉名,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5706,嫽,相嫽戲也又力弔切,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5707,漻,水淸也,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5708,蟟,蛁蟟,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5709,瞭,目明也,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5710,䜮,谷名,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5711,𧂏,草木踈莖,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5712,𩯊,細長,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5713,嶚,嶚𡻝山皃,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5714,翏,髙飛皃,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5715,繚,繚綾經絲出字林,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5716,憭,空皃,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5717,獠,夜獵也又知卯盧皓二切,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5718,髎,臗骨名,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5719,𡽐,崖虚,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5720,蟧,馬蟧大蟬,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5721,𦿌,草器力戈切,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5722,敹,揀擇,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5723,嘹,嘹亮聞逺聲又力弔切,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5724,熮,≆說文曰火皃,653,聊,落蕭,liau5,2.03蕭,來,l,半舌音,半舌,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5725,堯,至髙之皃謚法曰翊善傳聖曰堯五聊切五,654,堯,五聊,giau5,2.03蕭,疑,g,牙音,牙音,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5726,嶢,嶕嶢山危,654,堯,五聊,giau5,2.03蕭,疑,g,牙音,牙音,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5727,僥,僬僥國名人長一尺五寸一云三尺,654,堯,五聊,giau5,2.03蕭,疑,g,牙音,牙音,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5728,垚,土髙皃,654,堯,五聊,giau5,2.03蕭,疑,g,牙音,牙音,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5729,顤,頭髙長皃,654,堯,五聊,giau5,2.03蕭,疑,g,牙音,牙音,次濁,收聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5730,膮,豕羹也許幺切七,655,膮,許幺,hiau1,2.03蕭,曉,h,喉音,喉音,次清,送氣,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5731,嘵,懼聲詩曰予維音之嘵嘵,655,膮,許幺,hiau1,2.03蕭,曉,h,喉音,喉音,次清,送氣,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5732,憢,憢憢懼也,655,膮,許幺,hiau1,2.03蕭,曉,h,喉音,喉音,次清,送氣,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5733,㚠,長大皃,655,膮,許幺,hiau1,2.03蕭,曉,h,喉音,喉音,次清,送氣,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5734,𦟞,𦠎𦟞腫欲潰也,655,膮,許幺,hiau1,2.03蕭,曉,h,喉音,喉音,次清,送氣,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5735,䎄,䎄㲖毛皃,655,膮,許幺,hiau1,2.03蕭,曉,h,喉音,喉音,次清,送氣,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5736,䫞,大額又去遥切,655,膮,許幺,hiau1,2.03蕭,曉,h,喉音,喉音,次清,送氣,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5737,幺,幺麽小也於堯切五,656,幺,於堯,Øiau1,2.03蕭,影,Ø,喉音,喉音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5738,怮,怮怮憂也又一虯切,656,幺,於堯,Øiau1,2.03蕭,影,Ø,喉音,喉音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5739,葽,草盛皃,656,幺,於堯,Øiau1,2.03蕭,影,Ø,喉音,喉音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5740,䱂,魚名,656,幺,於堯,Øiau1,2.03蕭,影,Ø,喉音,喉音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5741,𥃩,望逺也,656,幺,於堯,Øiau1,2.03蕭,影,Ø,喉音,喉音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5742,鄡,鄡陽縣名在鄱陽又姓出何氏姓苑苦幺切五,657,鄡,苦幺,khiau1,2.03蕭,溪,kh,牙音,牙音,次清,送氣,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5743,郻,縣名在鉅鹿郡,657,鄡,苦幺,khiau1,2.03蕭,溪,kh,牙音,牙音,次清,送氣,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5744,𢿣,玉篇云擊也,657,鄡,苦幺,khiau1,2.03蕭,溪,kh,牙音,牙音,次清,送氣,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5745,墽,地名≆說文磽也,657,鄡,苦幺,khiau1,2.03蕭,溪,kh,牙音,牙音,次清,送氣,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5746,𡩇,玉篇云擊也,657,鄡,苦幺,khiau1,2.03蕭,溪,kh,牙音,牙音,次清,送氣,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5747,宵,夜也相邀切二十,658,宵,相邀,siau1,2.04宵,心,s,齒音,齒頭音,全清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5748,消,滅也盡也息也,658,宵,相邀,siau1,2.04宵,心,s,齒音,齒頭音,全清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5749,霄,近天氣也,658,宵,相邀,siau1,2.04宵,心,s,齒音,齒頭音,全清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5750,捎,摇捎動也又使交切,658,宵,相邀,siau1,2.04宵,心,s,齒音,齒頭音,全清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5751,逍,逍遥,658,宵,相邀,siau1,2.04宵,心,s,齒音,齒頭音,全清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5752,痟,痟渴病也司馬相如所患,658,宵,相邀,siau1,2.04宵,心,s,齒音,齒頭音,全清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5753,綃,生絲繒也,658,宵,相邀,siau1,2.04宵,心,s,齒音,齒頭音,全清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5754,銷,鑠也,658,宵,相邀,siau1,2.04宵,心,s,齒音,齒頭音,全清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5755,焇,上同,658,宵,相邀,siau1,2.04宵,心,s,齒音,齒頭音,全清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5756,硝,硭硝藥名,658,宵,相邀,siau1,2.04宵,心,s,齒音,齒頭音,全清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5757,蛸,螵蛸蟲也爾雅注云一名[𧐕/䗚]蟭亦姓南齊武帝改其子巴東主子響爲蛸氏又所交切,658,宵,相邀,siau1,2.04宵,心,s,齒音,齒頭音,全清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5758,莦,草名又使交切,658,宵,相邀,siau1,2.04宵,心,s,齒音,齒頭音,全清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5759,哨,口不正也又七𥬇切,658,宵,相邀,siau1,2.04宵,心,s,齒音,齒頭音,全清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5760,𦐺,鳥毛羽也,648,蕭,蘇彫,siau1,2.03蕭,心,s,齒音,齒頭音,全清,送氣,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
5761,鮹,魚名又所交切,658,宵,相邀,siau1,2.04宵,心,s,齒音,齒頭音,全清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5762,𤞚,狂也出文字集略,658,宵,相邀,siau1,2.04宵,心,s,齒音,齒頭音,全清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5763,䴛,煎鹽,658,宵,相邀,siau1,2.04宵,心,s,齒音,齒頭音,全清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5764,揱,長[皃色/臂又]交色角二切,658,宵,相邀,siau1,2.04宵,心,s,齒音,齒頭音,全清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5765,奞,張羽又先準切,168,綏,息遺,sui1,1.06脂,心,s,齒音,齒頭音,全清,送氣,脂合3舒聲,ui,止,脂,脂,平,合,3,合細
5766,魈,山魈出汀州獨足鬼,658,宵,相邀,siau1,2.04宵,心,s,齒音,齒頭音,全清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5767,超,≆說文曰跳也又姓漢有太僕超喜敕宵切六,659,超,敕宵,thiau1,2.04宵,徹,th,舌音,舌上音,次清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5768,怊,悵恨,659,超,敕宵,thiau1,2.04宵,徹,th,舌音,舌上音,次清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5769,欩,健也,659,超,敕宵,thiau1,2.04宵,徹,th,舌音,舌上音,次清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5770,𢁾,細絲,659,超,敕宵,thiau1,2.04宵,徹,th,舌音,舌上音,次清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5771,𠰉,鳴也,659,超,敕宵,thiau1,2.04宵,徹,th,舌音,舌上音,次清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5772,䫿,涼風,659,超,敕宵,thiau1,2.04宵,徹,th,舌音,舌上音,次清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5773,朝,早也又旦至食時爲終朝又朝鮮國名亦姓左傳有蔡大夫朝吳陟遥切又直遥切二,660,朝,陟遙,tiau1,2.04宵,知,t,舌音,舌上音,全清,發聲,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5774,𦩻,古文,660,朝,陟遙,tiau1,2.04宵,知,t,舌音,舌上音,全清,發聲,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5775,𪓙,本韻直遥切又遥陟切,661,𪓙,直遙,tiau5,2.04宵,澄,t,舌音,舌上音,全濁,,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5776,晁,上同,661,𪓙,直遙,tiau5,2.04宵,澄,t,舌音,舌上音,全濁,,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5777,鼂,上同,661,𪓙,直遙,tiau5,2.04宵,澄,t,舌音,舌上音,全濁,,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5778,朝,朝廷也禮記曰諸侯於天子五年一朝又姓唐有拾遺朝衛,660,朝,陟遙,tiau1,2.04宵,知,t,舌音,舌上音,全清,發聲,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5779,潮,朝廷也禮記曰諸侯於天子五年一朝又姓唐有拾遺朝衛,661,𪓙,直遙,tiau5,2.04宵,澄,t,舌音,舌上音,全濁,,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5780,嚻,喧也許嬌切又五刀切十,662,嚻,許嬌,hiau1,2.04宵,曉,h,喉音,喉音,次清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5781,枵,玄枵虚危之次,662,嚻,許嬌,hiau1,2.04宵,曉,h,喉音,喉音,次清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5782,歊,熱氣≆說文曰歊歊氣出皃,662,嚻,許嬌,hiau1,2.04宵,曉,h,喉音,喉音,次清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5783,毊,大磬也爾雅注云形如犂錧以玉石爲之又音喬,662,嚻,許嬌,hiau1,2.04宵,曉,h,喉音,喉音,次清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
5784,獢,猲獢短喙犬也,662,嚻,許嬌,hiau1,2.04宵,曉,h,喉音,喉音,次清,送氣,宵開3舒聲,iau,效,宵,宵,平,開,3,開細
