漢字識別號,字,字義,小韻識別號,小韻字,小韻切語,小韻標音,小韻目次,廣韻聲母,聲母碼,七聲類,發音部位,清濁,發送收,廣韻韻母,韻母碼,攝,韻系,韻目,調,呼,等,等呼
20226,坴,大塊,3201,六,力竹,liok8,5.01屋,來,l,半舌音,半舌,次濁,收聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20227,𡴆,地蕈,3201,六,力竹,liok8,5.01屋,來,l,半舌音,半舌,次濁,收聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20228,踛,翹踛也,3201,六,力竹,liok8,5.01屋,來,l,半舌音,半舌,次濁,收聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20229,僇,癡行又音溜,3047,溜,力救,liu7,4.49宥,來,l,半舌音,半舌,次濁,收聲,尤開3舒聲,iu,流,尤,宥,去,開,3,開細
20230,𥚊,見也,3201,六,力竹,liok8,5.01屋,來,l,半舌音,半舌,次濁,收聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20231,逐,追也驅也從也疾也強也走也直六切十二,3202,逐,直六,tiok8,5.01屋,澄,t,舌音,舌上音,全濁,,東開3促聲,iok,通,東,屋,入,開,3,獨細
20232,軸,車軸,3202,逐,直六,tiok8,5.01屋,澄,t,舌音,舌上音,全濁,,東開3促聲,iok,通,東,屋,入,開,3,獨細
20233,碡,磟碡田器又音禄獨,3182,獨,徒谷,tok8,5.01屋,定,t,舌音,舌頭音,全濁,,東開1促聲,ok,通,東,屋,入,開,1,獨洪
20234,妯,妯娌,995,抽,丑鳩,thiu1,2.18尤,徹,th,舌音,舌上音,次清,送氣,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
20235,舳,舳艫,3202,逐,直六,tiok8,5.01屋,澄,t,舌音,舌上音,全濁,,東開3促聲,iok,通,東,屋,入,開,3,獨細
20236,鱁,鱁鮧,3202,逐,直六,tiok8,5.01屋,澄,t,舌音,舌上音,全濁,,東開3促聲,iok,通,東,屋,入,開,3,獨細
20237,𧏿,馬蚿蟲,3202,逐,直六,tiok8,5.01屋,澄,t,舌音,舌上音,全濁,,東開3促聲,iok,通,東,屋,入,開,3,獨細
20238,筑,水名出房陵漢有筑陽縣蕭何妻封邑也,3202,逐,直六,tiok8,5.01屋,澄,t,舌音,舌上音,全濁,,東開3促聲,iok,通,東,屋,入,開,3,獨細
20239,蓫,馬尾草,3202,逐,直六,tiok8,5.01屋,澄,t,舌音,舌上音,全濁,,東開3促聲,iok,通,東,屋,入,開,3,獨細
20240,柚,杼柚機具又由舊切,3054,狖,余救,Øiu7,4.49宥,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,宥,去,開,3,開細
20241,䮱,馬䮱獸名,3202,逐,直六,tiok8,5.01屋,澄,t,舌音,舌上音,全濁,,東開3促聲,iok,通,東,屋,入,開,3,獨細
20242,篴,竹名,3202,逐,直六,tiok8,5.01屋,澄,t,舌音,舌上音,全濁,,東開3促聲,iok,通,東,屋,入,開,3,獨細
20243,菊,草名禮記季秋之月菊有黃華說文曰大菊蘧麥也居六切三十三,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20244,鞠,推窮也養也告也盈也禮記曰天子乃薦鞠衣於先帝鄭𤣥云鞠衣名蓋黃桑之服又姓出東萊風俗通曰漢有尚書令平原鞠譚又音麹又渠六切,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20245,蘜,爾雅曰蘜治牆郭璞云今之秋華菊也,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20246,𧃓,說文曰日精也似秋華,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20247,㥌,謹愼,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20248,𡙳,說文撮也,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20249,掬,上同,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20250,匊,物在手,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20251,𥷤,說文曰窮治辠人也,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20252,𦶗,上同,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20253,鞫,上同,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20254,𡫬,説文窮也,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
