小韻識別號,小韻字,小韻切語,小韻標音,小韻目次,廣韻聲母,聲母碼,七聲類,發音部位,清濁,發送收,廣韻韻母,韻母碼,攝,韻系,韻目,調,呼,等,等呼
47,舂,書容,siong1,1.03鍾,書,s,齒音,正齒近舌上,全清,送氣,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
48,松,祥容,siong5,1.03鍾,邪,s,齒音,齒頭音,全濁,送氣,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
49,𧘂,尺容,chiong1,1.03鍾,昌,ch,齒音,正齒近舌上,次清,送氣,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
50,容,餘封,Øiong5,1.03鍾,以,Ø,喉音,喉音,次濁,發聲,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
51,封,府容,hiong1,1.03鍾,非,h,脣音,輕脣音,全清,發聲,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
52,胷,許容,hiong1,1.03鍾,曉,h,喉音,喉音,次清,送氣,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
53,顒,魚容,giong5,1.03鍾,疑,g,牙音,牙音,次濁,收聲,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
54,邕,於容,Øiong1,1.03鍾,影,Ø,喉音,喉音,全清,發聲,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
55,醲,女容,liong5,1.03鍾,娘,l,舌音,舌上音,次濁,收聲,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
56,重,直容,tiong5,1.03鍾,澄,t,舌音,舌上音,全濁,,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
57,從,疾容,ciong5,1.03鍾,從,c,齒音,齒頭音,全濁,,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
58,蹱,丑凶,thiong1,1.03鍾,徹,th,舌音,舌上音,次清,送氣,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
59,逢,符容,hiong5,1.03鍾,奉,h,脣音,輕脣音,全濁,,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
60,峯,敷容,hiong1,1.03鍾,敷,h,脣音,輕脣音,次清,送氣,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
61,縱,即容,ciong1,1.03鍾,精,c,齒音,齒頭音,全清,發聲,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
62,茸,而容,jiong5,1.03鍾,日,j,半齒音,半齒,次濁,收聲,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
63,蛩,渠容,kiong5,1.03鍾,群,k,牙音,牙音,全濁,,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
64,鱅,蜀庸,siong5,1.03鍾,禪,s,齒音,正齒近齒頭,全濁,送氣,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
65,恭,九容,kiong1,1.03鍾,見,k,牙音,牙音,全清,發聲,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
66,蜙,息恭,siong1,1.03鍾,心,s,齒音,齒頭音,全清,送氣,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
67,樅,七恭,chiong1,1.03鍾,清,ch,齒音,齒頭音,次清,送氣,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
68,銎,曲恭,khiong1,1.03鍾,溪,kh,牙音,牙音,次清,送氣,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
69,江,古雙,kang1,1.04江,見,k,牙音,牙音,全清,發聲,江開2舒聲,ang,江,江,江,平,開,2,獨洪
70,厖,莫江,bang5,1.04江,明,b,脣音,重脣音,次濁,收聲,江開2舒聲,ang,江,江,江,平,開,2,獨洪
71,𦗳,女江,lang5,1.04江,娘,l,舌音,舌上音,次濁,收聲,江開2舒聲,ang,江,江,江,平,開,2,獨洪
72,囪,楚江,chang1,1.04江,初,ch,齒音,正齒近齒頭,次清,送氣,江開2舒聲,ang,江,江,江,平,開,2,獨洪
73,邦,博江,pang1,1.04江,幫,p,脣音,重脣音,全清,發聲,江開2舒聲,ang,江,江,江,平,開,2,獨洪
74,栙,下江,hang5,1.04江,匣,h,喉音,喉音,全濁,送氣,江開2舒聲,ang,江,江,江,平,開,2,獨洪
75,胮,匹江,phang1,1.04江,滂,ph,脣音,重脣音,次清,送氣,江開2舒聲,ang,江,江,江,平,開,2,獨洪
76,瀧,呂江,lang5,1.04江,來,l,半舌音,半舌,次濁,收聲,江開2舒聲,ang,江,江,江,平,開,2,獨洪
77,雙,所江,sang1,1.04江,生,s,齒音,正齒近齒頭,全清,送氣,江開2舒聲,ang,江,江,江,平,開,2,獨洪
78,龐,薄江,pang5,1.04江,並,p,脣音,重脣音,全濁,,江開2舒聲,ang,江,江,江,平,開,2,獨洪
79,肛,許江,hang1,1.04江,曉,h,喉音,喉音,次清,送氣,江開2舒聲,ang,江,江,江,平,開,2,獨洪
80,胦,握江,Øang1,1.04江,影,Ø,喉音,喉音,全清,發聲,江開2舒聲,ang,江,江,江,平,開,2,獨洪
81,腔,苦江,khang1,1.04江,溪,kh,牙音,牙音,次清,送氣,江開2舒聲,ang,江,江,江,平,開,2,獨洪
82,幢,宅江,tang5,1.04江,澄,t,舌音,舌上音,全濁,,江開2舒聲,ang,江,江,江,平,開,2,獨洪
83,憃,丑江,thang1,1.04江,徹,th,舌音,舌上音,次清,送氣,江開2舒聲,ang,江,江,江,平,開,2,獨洪
84,樁,都江,tang1,1.04江,端,t,舌音,舌頭音,全清,發聲,江開2舒聲,ang,江,江,江,平,開,2,獨洪
85,㟅,五江,gang5,1.04江,疑,g,牙音,牙音,次濁,收聲,江開2舒聲,ang,江,江,江,平,開,2,獨洪
86,淙,士江,cang5,1.04江,崇,c,齒音,正齒近齒頭,全濁,,江開2舒聲,ang,江,江,江,平,開,2,獨洪
87,支,章移,ci1,1.05支,章,c,齒音,正齒近舌上,全清,發聲,支開3舒聲,i,止,支,支,平,開,3,開細
88,移,弋支,Øi5,1.05支,以,Ø,喉音,喉音,次濁,發聲,支開3舒聲,i,止,支,支,平,開,3,開細
89,爲,薳支,Øi5,1.05支,云,Ø,喉音,喉音,次濁,發聲,支開3舒聲,i,止,支,支,平,開,3,開細
90,嬀,居爲,kui1,1.05支,見,k,牙音,牙音,全清,發聲,支合3舒聲,ui,止,支,支,平,合,3,合細
91,𪎮,許爲,hui1,1.05支,曉,h,喉音,喉音,次清,送氣,支合3舒聲,ui,止,支,支,平,合,3,合細
92,逶,於爲,Øui1,1.05支,影,Ø,喉音,喉音,全清,發聲,支合3舒聲,ui,止,支,支,平,合,3,合細
93,糜,靡爲,bui5,1.05支,明,b,脣音,重脣音,次濁,收聲,支合3舒聲,ui,止,支,支,平,合,3,合細
94,隓,許規,hui1,1.05支,曉,h,喉音,喉音,次清,送氣,支合3舒聲,ui,止,支,支,平,合,3,合細
95,鬌,直垂,tui5,1.05支,澄,t,舌音,舌上音,全濁,,支合3舒聲,ui,止,支,支,平,合,3,合細
96,𡍮,是爲,sui5,1.05支,禪,s,齒音,正齒近齒頭,全濁,送氣,支合3舒聲,ui,止,支,支,平,合,3,合細
97,羸,力爲,lui5,1.05支,來,l,半舌音,半舌,次濁,收聲,支合3舒聲,ui,止,支,支,平,合,3,合細
98,吹,昌垂,chui1,1.05支,昌,ch,齒音,正齒近舌上,次清,送氣,支合3舒聲,ui,止,支,支,平,合,3,合細
99,鈹,敷羈,hi1,1.05支,敷,h,脣音,輕脣音,次清,送氣,支開3舒聲,i,止,支,支,平,開,3,開細
100,陂,彼爲,pui1,1.05支,幫,p,脣音,重脣音,全清,發聲,支合3舒聲,ui,止,支,支,平,合,3,合細
101,隨,旬爲,sui5,1.05支,邪,s,齒音,齒頭音,全濁,送氣,支合3舒聲,ui,止,支,支,平,合,3,合細
102,虧,去爲,khui1,1.05支,溪,kh,牙音,牙音,次清,送氣,支合3舒聲,ui,止,支,支,平,合,3,合細
103,闚,去隨,khui1,1.05支,溪,kh,牙音,牙音,次清,送氣,支合3舒聲,ui,止,支,支,平,合,3,合細
104,竒,渠羈,ki5,1.05支,群,k,牙音,牙音,全濁,,支開3舒聲,i,止,支,支,平,開,3,開細
105,祇,巨支,ki5,1.05支,群,k,牙音,牙音,全濁,,支開3舒聲,i,止,支,支,平,開,3,開細
106,犧,許羈,hi1,1.05支,曉,h,喉音,喉音,次清,送氣,支開3舒聲,i,止,支,支,平,開,3,開細
107,㩻,去奇,khi1,1.05支,溪,kh,牙音,牙音,次清,送氣,支開3舒聲,i,止,支,支,平,開,3,開細
108,宜,魚羈,gi5,1.05支,疑,g,牙音,牙音,次濁,收聲,支開3舒聲,i,止,支,支,平,開,3,開細
109,皮,符羈,hi5,1.05支,奉,h,脣音,輕脣音,全濁,,支開3舒聲,i,止,支,支,平,開,3,開細
110,提,是支,si5,1.05支,禪,s,齒音,正齒近齒頭,全濁,送氣,支開3舒聲,i,止,支,支,平,開,3,開細
111,兒,汝移,ji5,1.05支,日,j,半齒音,半齒,次濁,收聲,支開3舒聲,i,止,支,支,平,開,3,開細
112,離,吕支,li5,1.05支,來,l,半舌音,半舌,次濁,收聲,支開3舒聲,i,止,支,支,平,開,3,開細
113,疵,疾移,ci5,1.05支,從,c,齒音,齒頭音,全濁,,支開3舒聲,i,止,支,支,平,開,3,開細
114,貲,即移,ci1,1.05支,精,c,齒音,齒頭音,全清,發聲,支開3舒聲,i,止,支,支,平,開,3,開細
115,羈,居宜,ki1,1.05支,見,k,牙音,牙音,全清,發聲,支開3舒聲,i,止,支,支,平,開,3,開細
116,卑,府移,hi1,1.05支,非,h,脣音,輕脣音,全清,發聲,支開3舒聲,i,止,支,支,平,開,3,開細
117,陴,符支,hi5,1.05支,奉,h,脣音,輕脣音,全濁,,支開3舒聲,i,止,支,支,平,開,3,開細
118,䌳,式支,si1,1.05支,書,s,齒音,正齒近舌上,全清,送氣,支開3舒聲,i,止,支,支,平,開,3,開細
119,斯,息移,si1,1.05支,心,s,齒音,齒頭音,全清,送氣,支開3舒聲,i,止,支,支,平,開,3,開細
120,差,楚宜,chi1,1.05支,初,ch,齒音,正齒近齒頭,次清,送氣,支開3舒聲,i,止,支,支,平,開,3,開細
121,摛,丑知,thi1,1.05支,徹,th,舌音,舌上音,次清,送氣,支開3舒聲,i,止,支,支,平,開,3,開細
122,彌,武移,bi5,1.05支,微,b,脣音,輕脣音,次濁,收聲,支開3舒聲,i,止,支,支,平,開,3,開細
123,雌,此移,chi1,1.05支,清,ch,齒音,齒頭音,次清,送氣,支開3舒聲,i,止,支,支,平,開,3,開細
124,知,陟移,ti1,1.05支,知,t,舌音,舌上音,全清,發聲,支開3舒聲,i,止,支,支,平,開,3,開細
125,漪,於離,Øi1,1.05支,影,Ø,喉音,喉音,全清,發聲,支開3舒聲,i,止,支,支,平,開,3,開細
126,馳,直離,ti5,1.05支,澄,t,舌音,舌上音,全濁,,支開3舒聲,i,止,支,支,平,開,3,開細
127,眭,息爲,sui1,1.05支,心,s,齒音,齒頭音,全清,送氣,支合3舒聲,ui,止,支,支,平,合,3,合細
128,危,魚爲,gui5,1.05支,疑,g,牙音,牙音,次濁,收聲,支合3舒聲,ui,止,支,支,平,合,3,合細
129,詑,香支,hi1,1.05支,曉,h,喉音,喉音,次清,送氣,支開3舒聲,i,止,支,支,平,開,3,開細
130,釃,所宜,si1,1.05支,生,s,齒音,正齒近齒頭,全清,送氣,支開3舒聲,i,止,支,支,平,開,3,開細
131,䪎,山垂,sui1,1.05支,生,s,齒音,正齒近齒頭,全清,送氣,支合3舒聲,ui,止,支,支,平,合,3,合細
132,痿,人垂,jui5,1.05支,日,j,半齒音,半齒,次濁,收聲,支合3舒聲,ui,止,支,支,平,合,3,合細
133,厜,姊移,ci1,1.05支,精,c,齒音,齒頭音,全清,發聲,支開3舒聲,i,止,支,支,平,開,3,開細
134,𩓸,居隋,kui1,1.05支,見,k,牙音,牙音,全清,發聲,支合3舒聲,ui,止,支,支,平,合,3,合細
135,劑,遵爲,cui1,1.05支,精,c,齒音,齒頭音,全清,發聲,支合3舒聲,ui,止,支,支,平,合,3,合細
136,衰,楚危,chui1,1.05支,初,ch,齒音,正齒近齒頭,次清,送氣,支合3舒聲,ui,止,支,支,平,合,3,合細
137,腄,竹垂,tui1,1.05支,知,t,舌音,舌上音,全清,發聲,支合3舒聲,ui,止,支,支,平,合,3,合細
138,䮔,子垂,cui1,1.05支,精,c,齒音,齒頭音,全清,發聲,支合3舒聲,ui,止,支,支,平,合,3,合細
139,眵,叱支,chi1,1.05支,昌,ch,齒音,正齒近舌上,次清,送氣,支開3舒聲,i,止,支,支,平,開,3,開細
140,齜,側移,ci1,1.05支,莊,c,齒音,正齒近齒頭,全清,發聲,支開3舒聲,i,止,支,支,平,開,3,開細
141,𤿎,匹支,phi1,1.05支,滂,ph,脣音,重脣音,次清,送氣,支開3舒聲,i,止,支,支,平,開,3,開細
142,䔺,悅吹,Øui5,1.05支,以,Ø,喉音,喉音,次濁,發聲,支合3舒聲,ui,止,支,支,平,合,3,合細
143,齹,士移,ci5,1.05支,崇,c,齒音,正齒近齒頭,全濁,,支開3舒聲,i,止,支,支,平,開,3,開細
144,脂,旨夷,ci1,1.06脂,章,c,齒音,正齒近舌上,全清,發聲,脂開3舒聲,i,止,脂,脂,平,開,3,開細
145,姨,以脂,Øi5,1.06脂,以,Ø,喉音,喉音,次濁,發聲,脂開3舒聲,i,止,脂,脂,平,開,3,開細
146,師,䟽夷,si1,1.06脂,生,s,齒音,正齒近齒頭,全清,送氣,脂開3舒聲,i,止,脂,脂,平,開,3,開細
147,𣬈,房脂,hi5,1.06脂,奉,h,脣音,輕脣音,全濁,,脂開3舒聲,i,止,脂,脂,平,開,3,開細
148,咨,即夷,ci1,1.06脂,精,c,齒音,齒頭音,全清,發聲,脂開3舒聲,i,止,脂,脂,平,開,3,開細
149,飢,居夷,ki1,1.06脂,見,k,牙音,牙音,全清,發聲,脂開3舒聲,i,止,脂,脂,平,開,3,開細
150,鴟,處脂,chi1,1.06脂,昌,ch,齒音,正齒近舌上,次清,送氣,脂開3舒聲,i,止,脂,脂,平,開,3,開細
151,絺,丑飢,thi1,1.06脂,徹,th,舌音,舌上音,次清,送氣,脂開3舒聲,i,止,脂,脂,平,開,3,開細
152,郪,取私,chi1,1.06脂,清,ch,齒音,齒頭音,次清,送氣,脂開3舒聲,i,止,脂,脂,平,開,3,開細
153,茨,疾資,ci5,1.06脂,從,c,齒音,齒頭音,全濁,,脂開3舒聲,i,止,脂,脂,平,開,3,開細
154,尼,女夷,li5,1.06脂,娘,l,舌音,舌上音,次濁,收聲,脂開3舒聲,i,止,脂,脂,平,開,3,開細
155,墀,直尼,ti5,1.06脂,澄,t,舌音,舌上音,全濁,,脂開3舒聲,i,止,脂,脂,平,開,3,開細
156,私,息夷,si1,1.06脂,心,s,齒音,齒頭音,全清,送氣,脂開3舒聲,i,止,脂,脂,平,開,3,開細
157,尸,式之,si1,1.06脂,書,s,齒音,正齒近舌上,全清,送氣,之開3舒聲,i,止,之,之,平,開,3,開細
158,鬐,渠脂,ki5,1.06脂,群,k,牙音,牙音,全濁,,脂開3舒聲,i,止,脂,脂,平,開,3,開細
159,伊,於脂,Øi1,1.06脂,影,Ø,喉音,喉音,全清,發聲,脂開3舒聲,i,止,脂,脂,平,開,3,開細
160,棃,力脂,li5,1.06脂,來,l,半舌音,半舌,次濁,收聲,脂開3舒聲,i,止,脂,脂,平,開,3,開細
161,葵,渠隹,kui5,1.06脂,群,k,牙音,牙音,全濁,,支合3舒聲,ui,止,支,支,平,合,3,合細
162,追,陟隹,tui1,1.06脂,知,t,舌音,舌上音,全清,發聲,支合3舒聲,ui,止,支,支,平,合,3,合細
163,龜,居追,kui1,1.06脂,見,k,牙音,牙音,全清,發聲,脂合3舒聲,ui,止,脂,脂,平,合,3,合細
164,蕤,儒隹,jui5,1.06脂,日,j,半齒音,半齒,次濁,收聲,支合3舒聲,ui,止,支,支,平,合,3,合細
165,衰,所追,sui1,1.06脂,生,s,齒音,正齒近齒頭,全清,送氣,脂合3舒聲,ui,止,脂,脂,平,合,3,合細
166,惟,以追,Øui5,1.06脂,以,Ø,喉音,喉音,次濁,發聲,脂合3舒聲,ui,止,脂,脂,平,合,3,合細
167,㶟,力追,lui5,1.06脂,來,l,半舌音,半舌,次濁,收聲,脂合3舒聲,ui,止,脂,脂,平,合,3,合細
168,綏,息遺,sui1,1.06脂,心,s,齒音,齒頭音,全清,送氣,脂合3舒聲,ui,止,脂,脂,平,合,3,合細
169,逵,渠追,kui5,1.06脂,群,k,牙音,牙音,全濁,,脂合3舒聲,ui,止,脂,脂,平,合,3,合細
170,眉,武悲,bi5,1.06脂,微,b,脣音,輕脣音,次濁,收聲,脂開3舒聲,i,止,脂,脂,平,開,3,開細
171,悲,府眉,hi1,1.06脂,非,h,脣音,輕脣音,全清,發聲,脂開3舒聲,i,止,脂,脂,平,開,3,開細
172,錐,職追,cui1,1.06脂,章,c,齒音,正齒近舌上,全清,發聲,脂合3舒聲,ui,止,脂,脂,平,合,3,合細
173,誰,視隹,sui5,1.06脂,禪,s,齒音,正齒近齒頭,全濁,送氣,支合3舒聲,ui,止,支,支,平,合,3,合細
174,帷,洧悲,Øi5,1.06脂,云,Ø,喉音,喉音,次濁,發聲,脂開3舒聲,i,止,脂,脂,平,開,3,開細
175,邳,符悲,hi5,1.06脂,奉,h,脣音,輕脣音,全濁,,脂開3舒聲,i,止,脂,脂,平,開,3,開細
176,丕,敷悲,hi1,1.06脂,敷,h,脣音,輕脣音,次清,送氣,脂開3舒聲,i,止,脂,脂,平,開,3,開細
177,倠,許維,hui1,1.06脂,曉,h,喉音,喉音,次清,送氣,脂合3舒聲,ui,止,脂,脂,平,合,3,合細
178,鎚,直追,tui5,1.06脂,澄,t,舌音,舌上音,全濁,,脂合3舒聲,ui,止,脂,脂,平,合,3,合細
179,推,叉隹,chui1,1.06脂,初,ch,齒音,正齒近齒頭,次清,送氣,支合3舒聲,ui,止,支,支,平,合,3,合細
180,胝,丁尼,ti1,1.06脂,端,t,舌音,舌頭音,全清,發聲,脂開3舒聲,i,止,脂,脂,平,開,3,開細
181,紕,匹夷,phi1,1.06脂,滂,ph,脣音,重脣音,次清,送氣,脂開3舒聲,i,止,脂,脂,平,開,3,開細
182,嶉,醉綏,cui1,1.06脂,精,c,齒音,齒頭音,全清,發聲,脂合3舒聲,ui,止,脂,脂,平,合,3,合細
183,巋,丘追,khui1,1.06脂,溪,kh,牙音,牙音,次清,送氣,脂合3舒聲,ui,止,脂,脂,平,合,3,合細
184,狋,牛肌,gi5,1.06脂,疑,g,牙音,牙音,次濁,收聲,支開3舒聲,i,止,支,支,平,開,3,開細
185,咦,喜夷,hi1,1.06脂,曉,h,喉音,喉音,次清,送氣,脂開3舒聲,i,止,脂,脂,平,開,3,開細
186,之,止而,ci1,1.07之,章,c,齒音,正齒近舌上,全清,發聲,之開3舒聲,i,止,之,之,平,開,3,開細
187,飴,與之,Øi5,1.07之,以,Ø,喉音,喉音,次濁,發聲,之開3舒聲,i,止,之,之,平,開,3,開細
188,時,市之,si5,1.07之,禪,s,齒音,正齒近齒頭,全濁,送氣,之開3舒聲,i,止,之,之,平,開,3,開細
189,疑,語其,gi5,1.07之,疑,g,牙音,牙音,次濁,收聲,支開3舒聲,i,止,支,支,平,開,3,開細
190,思,息兹,si1,1.07之,心,s,齒音,齒頭音,全清,送氣,支開3舒聲,i,止,支,支,平,開,3,開細
191,輜,楚持,chi1,1.07之,初,ch,齒音,正齒近齒頭,次清,送氣,之開3舒聲,i,止,之,之,平,開,3,開細
192,其,渠之,ki5,1.07之,群,k,牙音,牙音,全濁,,之開3舒聲,i,止,之,之,平,開,3,開細
193,詩,書之,si1,1.07之,書,s,齒音,正齒近舌上,全清,送氣,之開3舒聲,i,止,之,之,平,開,3,開細
194,而,如之,ji5,1.07之,日,j,半齒音,半齒,次濁,收聲,之開3舒聲,i,止,之,之,平,開,3,開細
195,欺,去其,khi1,1.07之,溪,kh,牙音,牙音,次清,送氣,支開3舒聲,i,止,支,支,平,開,3,開細
196,姬,居之,ki1,1.07之,見,k,牙音,牙音,全清,發聲,之開3舒聲,i,止,之,之,平,開,3,開細
197,詞,似兹,si5,1.07之,邪,s,齒音,齒頭音,全濁,送氣,支開3舒聲,i,止,支,支,平,開,3,開細
198,釐,里之,li5,1.07之,來,l,半舌音,半舌,次濁,收聲,之開3舒聲,i,止,之,之,平,開,3,開細
199,葘,側持,ci1,1.07之,莊,c,齒音,正齒近齒頭,全清,發聲,之開3舒聲,i,止,之,之,平,開,3,開細
200,僖,許其,hi1,1.07之,曉,h,喉音,喉音,次清,送氣,支開3舒聲,i,止,支,支,平,開,3,開細
201,醫,於其,Øi1,1.07之,影,Ø,喉音,喉音,全清,發聲,支開3舒聲,i,止,支,支,平,開,3,開細
202,癡,丑之,thi1,1.07之,徹,th,舌音,舌上音,次清,送氣,之開3舒聲,i,止,之,之,平,開,3,開細
203,治,直之,ti5,1.07之,澄,t,舌音,舌上音,全濁,,之開3舒聲,i,止,之,之,平,開,3,開細
204,蚩,赤之,chi1,1.07之,昌,ch,齒音,正齒近舌上,次清,送氣,之開3舒聲,i,止,之,之,平,開,3,開細
