小韻識別號,上字表識別號,下字表識別號,小韻字,小韻切語,小韻標音,小韻目次,小韻字序號,廣韻聲母,七聲類,發音部位,清濁,發送收,聲母碼,聲母國際音標,白話字聲母,閩拼聲母,台羅聲母,方音聲母,十五音聲母,廣韻韻母,目次,攝,韻系,韻目,調,呼,等,等呼,韻母碼,韻母國際音標,白話字韻母,閩拼韻母,台羅韻母,方音韻母,十五音韻母
2864,26,231,詐,側駕,ca3,4.40禡,8,莊,齒音,正齒近齒頭,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,麻開2舒聲,4.40禡,假,麻,禡,去,開,2,開洪,a,a,a,a,a,ㄚ,膠
2865,30,231,乍,鋤駕,ca7,4.40禡,9,崇,齒音,正齒近齒頭,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,麻開2舒聲,4.40禡,假,麻,禡,去,開,2,開洪,a,a,a,a,a,ㄚ,膠
2866,25,239,謝,辝夜,sia7,4.40禡,10,邪,齒音,齒頭音,全濁,送氣,s,s,s,s,s,ㄙ,時,麻開3舒聲,4.40禡,假,麻,禡,去,開,3,開細,ia,ia,ia,ia,ia,ㄧㄚ,迦
2867,18,231,髂,枯駕,kha3,4.40禡,11,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,麻開2舒聲,4.40禡,假,麻,禡,去,開,2,開洪,a,a,a,a,a,ㄚ,膠
2868,38,231,暇,胡駕,ha7,4.40禡,12,匣,喉音,喉音,全濁,送氣,h,h,h,h,h,ㄏ,喜,麻開2舒聲,4.40禡,假,麻,禡,去,開,2,開洪,a,a,a,a,a,ㄚ,膠
2869,23,239,褯,慈夜,cia7,4.40禡,13,從,齒音,齒頭音,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,麻開3舒聲,4.40禡,假,麻,禡,去,開,3,開細,ia,ia,ia,ia,ia,ㄧㄚ,迦
2870,39,239,夜,羊謝,Øia7,4.40禡,14,以,喉音,喉音,次濁,發聲,Ø,,,,,,英,麻開3舒聲,4.40禡,假,麻,禡,去,開,3,開細,ia,ia,ia,ia,ia,ㄧㄚ,迦
2871,29,239,䞣,充夜,chia3,4.40禡,15,昌,齒音,正齒近舌上,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,麻開3舒聲,4.40禡,假,麻,禡,去,開,3,開細,ia,ia,ia,ia,ia,ㄧㄚ,迦
2872,24,239,蝑,司夜,sia3,4.40禡,16,心,齒音,齒頭音,全清,送氣,s,s,s,s,s,ㄙ,時,麻開3舒聲,4.40禡,假,麻,禡,去,開,3,開細,ia,ia,ia,ia,ia,ㄧㄚ,迦
2873,27,239,柘,之夜,cia3,4.40禡,17,章,齒音,正齒近舌上,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,麻開3舒聲,4.40禡,假,麻,禡,去,開,3,開細,ia,ia,ia,ia,ia,ㄧㄚ,迦
