小韻識別號,上字表識別號,下字表識別號,小韻字,小韻切語,小韻標音,小韻目次,小韻字序號,廣韻聲母,七聲類,發音部位,清濁,發送收,聲母碼,聲母國際音標,白話字聲母,閩拼聲母,台羅聲母,方音聲母,十五音聲母,廣韻韻母,目次,攝,韻系,韻目,調,呼,等,等呼,韻母碼,韻母國際音標,白話字韻母,閩拼韻母,台羅韻母,方音韻母,十五音韻母
576,23,181,前,昨先,cian5,2.01先,2,從,齒音,齒頭音,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,先開4舒聲,2.01先,山,先,先,平,開,4,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
577,22,181,千,蒼先,chian1,2.01先,3,清,齒音,齒頭音,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,先開4舒聲,2.01先,山,先,先,平,開,4,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
578,21,181,箋,則前,cian1,2.01先,4,精,齒音,齒頭音,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,先開4舒聲,2.01先,山,先,先,平,開,4,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
579,10,181,天,他前,thian1,2.01先,5,透,舌音,舌頭音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,先開4舒聲,2.01先,山,先,先,平,開,4,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
580,17,181,堅,古賢,kian1,2.01先,6,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,先開4舒聲,2.01先,山,先,先,平,開,4,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
581,38,181,賢,胡田,hian5,2.01先,7,匣,喉音,喉音,全濁,送氣,h,h,h,h,h,ㄏ,喜,先開4舒聲,2.01先,山,先,先,平,開,4,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
582,36,181,煙,烏前,Øian1,2.01先,8,影,喉音,喉音,全清,發聲,Ø,,,,,,英,先開4舒聲,2.01先,山,先,先,平,開,4,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
583,41,181,蓮,落賢,lian5,2.01先,9,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,先開4舒聲,2.01先,山,先,先,平,開,4,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
584,11,181,田,徒年,tian5,2.01先,10,定,舌音,舌頭音,全濁,,t,t,t,d,t,ㄉ,地,先開4舒聲,2.01先,山,先,先,平,開,4,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
585,12,181,秊,奴顚,lian5,2.01先,11,泥,舌音,舌頭音,次濁,收聲,l,l,l,l,l,ㄌ,柳,先開4舒聲,2.01先,山,先,先,平,開,4,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
586,9,181,顚,都年,tian1,2.01先,12,端,舌音,舌頭音,全清,發聲,t,t,t,d,t,ㄉ,地,先開4舒聲,2.01先,山,先,先,平,開,4,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
587,18,181,牽,苦堅,khian1,2.01先,13,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,先開4舒聲,2.01先,山,先,先,平,開,4,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
588,20,181,姸,五堅,gian5,2.01先,14,疑,牙音,牙音,次濁,收聲,g,ɡ,g,gg,g,ㆣ,語,先開4舒聲,2.01先,山,先,先,平,開,4,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
589,4,181,眠,莫賢,bian5,2.01先,15,明,脣音,重脣音,次濁,收聲,b,b,b,bb,b,ㆠ,門,先開4舒聲,2.01先,山,先,先,平,開,4,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
590,3,181,蹁,部田,pian5,2.01先,16,並,脣音,重脣音,全濁,,p,p,p,b,p,ㄅ,邊,先開4舒聲,2.01先,山,先,先,平,開,4,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
591,36,185,淵,烏玄,Øian1,2.01先,17,影,喉音,喉音,全清,發聲,Ø,,,,,,英,先合2舒聲,2.01先,山,先,先,平,合,2,合細,ian,ian,ian,ian,ian,ㄧㄢ,堅
592,17,185,涓,古玄,kian1,2.01先,18,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,先合2舒聲,2.01先,山,先,先,平,合,2,合細,ian,ian,ian,ian,ian,ㄧㄢ,堅
593,37,185,鋗,火玄,hian1,2.01先,19,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,先合2舒聲,2.01先,山,先,先,平,合,2,合細,ian,ian,ian,ian,ian,ㄧㄢ,堅
594,1,185,邊,布玄,pian1,2.01先,20,幫,脣音,重脣音,全清,發聲,p,p,p,b,p,ㄅ,邊,先合2舒聲,2.01先,山,先,先,平,合,2,合細,ian,ian,ian,ian,ian,ㄧㄢ,堅
595,38,185,玄,胡涓,hian5,2.01先,21,匣,喉音,喉音,全濁,送氣,h,h,h,h,h,ㄏ,喜,先合2舒聲,2.01先,山,先,先,平,合,2,合細,ian,ian,ian,ian,ian,ㄧㄢ,堅
596,37,181,祆,呼煙,hian1,2.01先,22,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,先開4舒聲,2.01先,山,先,先,平,開,4,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
597,30,185,𤜼,崇玄,cian5,2.01先,23,崇,齒音,正齒近齒頭,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,先合2舒聲,2.01先,山,先,先,平,合,2,合細,ian,ian,ian,ian,ian,ㄧㄢ,堅
598,24,189,仙,相然,sian1,2.02仙,1,心,齒音,齒頭音,全清,送氣,s,s,s,s,s,ㄙ,時,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
599,23,189,錢,昨仙,cian5,2.02仙,2,從,齒音,齒頭音,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
600,22,189,遷,七然,chian1,2.02仙,3,清,齒音,齒頭音,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
601,21,189,煎,子仙,cian1,2.02仙,4,精,齒音,齒頭音,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
602,42,189,然,如延,jian5,2.02仙,5,日,半齒音,半齒,次濁,收聲,j,ʣ,j,zz,j,ㆡ,入,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
603,39,189,延,以然,Øian5,2.02仙,6,以,喉音,喉音,次濁,發聲,Ø,,,,,,英,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
604,27,189,𩜾,諸延,cian1,2.02仙,7,章,齒音,正齒近舌上,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
605,17,189,甄,居延,kian1,2.02仙,8,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
606,13,189,邅,張連,tian1,2.02仙,9,知,舌音,舌上音,全清,發聲,t,t,t,d,t,ㄉ,地,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
607,30,189,潺,士連,cian5,2.02仙,10,崇,齒音,正齒近齒頭,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
608,33,189,羶,式連,sian1,2.02仙,11,書,齒音,正齒近舌上,全清,送氣,s,s,s,s,s,ㄙ,時,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
609,14,189,脠,丑延,thian1,2.02仙,12,徹,舌音,舌上音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
610,34,189,鋋,市連,sian5,2.02仙,13,禪,齒音,正齒近齒頭,全濁,送氣,s,s,s,s,s,ㄙ,時,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
611,15,189,纏,直連,tian5,2.02仙,14,澄,舌音,舌上音,全濁,,t,t,t,d,t,ㄉ,地,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
612,37,189,嘕,許延,hian1,2.02仙,15,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
613,41,189,連,力延,lian5,2.02仙,16,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
614,6,189,篇,芳連,hian1,2.02仙,17,敷,脣音,輕脣音,次清,送氣,h,h,h,h,h,ㄏ,喜,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
615,7,189,便,房連,hian5,2.02仙,18,奉,脣音,輕脣音,全濁,,h,h,h,h,h,ㄏ,喜,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
616,8,189,緜,武延,bian5,2.02仙,19,微,脣音,輕脣音,次濁,收聲,b,b,b,bb,b,ㆠ,門,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
617,23,193,全,疾緣,cuan5,2.02仙,20,從,齒音,齒頭音,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
618,24,193,宣,須緣,suan1,2.02仙,21,心,齒音,齒頭音,全清,送氣,s,s,s,s,s,ㄙ,時,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
619,21,193,鐫,子泉,cuan1,2.02仙,22,精,齒音,齒頭音,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
620,37,193,翾,許緣,huan1,2.02仙,23,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
621,42,193,堧,而緣,juan5,2.02仙,24,日,半齒音,半齒,次濁,收聲,j,ʣ,j,zz,j,ㆡ,入,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
622,29,193,穿,昌緣,chuan1,2.02仙,25,昌,齒音,正齒近舌上,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
623,39,193,沿,與專,Øuan5,2.02仙,26,以,喉音,喉音,次濁,發聲,Ø,,,,,,英,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
624,25,193,旋,似宣,suan5,2.02仙,27,邪,齒音,齒頭音,全濁,送氣,s,s,s,s,s,ㄙ,時,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
625,36,193,娟,於緣,Øuan1,2.02仙,28,影,喉音,喉音,全清,發聲,Ø,,,,,,英,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
626,35,193,船,食川,suan5,2.02仙,29,船,齒音,正齒近舌上,全濁,送氣,s,s,s,s,s,ㄙ,時,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
627,1,189,鞭,卑連,pian1,2.02仙,30,幫,脣音,重脣音,全清,發聲,p,p,p,b,p,ㄅ,邊,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
628,25,189,㳄,夕連,sian5,2.02仙,31,邪,齒音,齒頭音,全濁,送氣,s,s,s,s,s,ㄙ,時,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
629,22,193,詮,此緣,chuan1,2.02仙,32,清,齒音,齒頭音,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
630,27,193,專,職緣,cuan1,2.02仙,33,章,齒音,正齒近舌上,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
631,34,193,遄,市緣,suan5,2.02仙,34,禪,齒音,正齒近齒頭,全濁,送氣,s,s,s,s,s,ㄙ,時,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
632,40,193,貟,王權,Øuan5,2.02仙,35,云,喉音,喉音,次濁,發聲,Ø,,,,,,英,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
633,26,193,恮,莊緣,cuan1,2.02仙,36,莊,齒音,正齒近齒頭,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
634,32,193,栓,山貟,suan1,2.02仙,37,生,齒音,正齒近齒頭,全清,送氣,s,s,s,s,s,ㄙ,時,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
635,14,193,猭,丑緣,thuan1,2.02仙,38,徹,舌音,舌上音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
636,19,189,乾,渠焉,kian5,2.02仙,39,群,牙音,牙音,全濁,,k,k,k,g,k,ㄍ,求,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
637,18,189,愆,去乾,khian1,2.02仙,40,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
638,19,193,權,巨貟,kuan5,2.02仙,41,群,牙音,牙音,全濁,,k,k,k,g,k,ㄍ,求,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
639,15,193,椽,直攣,tuan5,2.02仙,42,澄,舌音,舌上音,全濁,,t,t,t,d,t,ㄉ,地,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
640,41,193,攣,吕貟,luan5,2.02仙,43,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
641,18,193,弮,丘圓,khuan1,2.02仙,44,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
642,36,189,焉,於乾,Øian1,2.02仙,45,影,喉音,喉音,全清,發聲,Ø,,,,,,英,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
643,40,189,漹,有乾,Øian5,2.02仙,46,云,喉音,喉音,次濁,發聲,Ø,,,,,,英,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
644,36,193,嬽,於權,Øuan1,2.02仙,47,影,喉音,喉音,全清,發聲,Ø,,,,,,英,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
645,29,189,燀,尺延,chian1,2.02仙,48,昌,齒音,正齒近舌上,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,仙開3舒聲,2.02仙,山,仙,仙,平,開,3,開細,ian,ian,ian,ian,ian,ㄧㄢ,堅
646,9,193,𡰝,丁全,tuan1,2.02仙,49,端,舌音,舌頭音,全清,發聲,t,t,t,d,t,ㄉ,地,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
647,17,193,勬,居貟,kuan1,2.02仙,50,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,仙合3舒聲,2.02仙,山,仙,仙,平,合,3,合細,uan,uan,oan,uan,uan,ㄨㄢ,觀
648,24,197,蕭,蘇彫,siau1,2.03蕭,1,心,齒音,齒頭音,全清,送氣,s,s,s,s,s,ㄙ,時,蕭開4舒聲,2.03蕭,效,蕭,蕭,平,開,4,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
649,10,197,祧,吐彫,thiau1,2.03蕭,2,透,舌音,舌頭音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,蕭開4舒聲,2.03蕭,效,蕭,蕭,平,開,4,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
650,9,197,貂,都聊,tiau1,2.03蕭,3,端,舌音,舌頭音,全清,發聲,t,t,t,d,t,ㄉ,地,蕭開4舒聲,2.03蕭,效,蕭,蕭,平,開,4,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
651,11,197,迢,徒聊,tiau5,2.03蕭,4,定,舌音,舌頭音,全濁,,t,t,t,d,t,ㄉ,地,蕭開4舒聲,2.03蕭,效,蕭,蕭,平,開,4,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
652,17,197,驍,古堯,kiau1,2.03蕭,5,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,蕭開4舒聲,2.03蕭,效,蕭,蕭,平,開,4,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
653,41,197,聊,落蕭,liau5,2.03蕭,6,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,蕭開4舒聲,2.03蕭,效,蕭,蕭,平,開,4,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
654,20,197,堯,五聊,giau5,2.03蕭,7,疑,牙音,牙音,次濁,收聲,g,ɡ,g,gg,g,ㆣ,語,蕭開4舒聲,2.03蕭,效,蕭,蕭,平,開,4,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
655,37,197,膮,許幺,hiau1,2.03蕭,8,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,蕭開4舒聲,2.03蕭,效,蕭,蕭,平,開,4,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
656,36,197,幺,於堯,Øiau1,2.03蕭,9,影,喉音,喉音,全清,發聲,Ø,,,,,,英,蕭開4舒聲,2.03蕭,效,蕭,蕭,平,開,4,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
657,18,197,鄡,苦幺,khiau1,2.03蕭,10,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,蕭開4舒聲,2.03蕭,效,蕭,蕭,平,開,4,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
658,24,201,宵,相邀,siau1,2.04宵,1,心,齒音,齒頭音,全清,送氣,s,s,s,s,s,ㄙ,時,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
659,14,201,超,敕宵,thiau1,2.04宵,2,徹,舌音,舌上音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
660,13,201,朝,陟遙,tiau1,2.04宵,3,知,舌音,舌上音,全清,發聲,t,t,t,d,t,ㄉ,地,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
661,15,201,𪓙,直遙,tiau5,2.04宵,4,澄,舌音,舌上音,全濁,,t,t,t,d,t,ㄉ,地,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
662,37,201,嚻,許嬌,hiau1,2.04宵,5,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
663,23,201,樵,昨焦,ciau5,2.04宵,6,從,齒音,齒頭音,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
664,17,201,驕,舉喬,kiau1,2.04宵,7,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
665,21,201,焦,即消,ciau1,2.04宵,8,精,齒音,齒頭音,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
666,42,201,饒,如招,jiau5,2.04宵,9,日,半齒音,半齒,次濁,收聲,j,ʣ,j,zz,j,ㆡ,入,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
667,33,201,燒,式招,siau1,2.04宵,10,書,齒音,正齒近舌上,全清,送氣,s,s,s,s,s,ㄙ,時,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
668,39,201,遙,餘昭,Øiau5,2.04宵,11,以,喉音,喉音,次濁,發聲,Ø,,,,,,英,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
669,34,201,韶,市昭,siau5,2.04宵,12,禪,齒音,正齒近齒頭,全濁,送氣,s,s,s,s,s,ㄙ,時,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
670,27,201,昭,止遙,ciau1,2.04宵,13,章,齒音,正齒近舌上,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
671,5,201,飊,甫遙,hiau1,2.04宵,14,非,脣音,輕脣音,全清,發聲,h,h,h,h,h,ㄏ,喜,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
672,5,201,鑣,甫嬌,hiau1,2.04宵,15,非,脣音,輕脣音,全清,發聲,h,h,h,h,h,ㄏ,喜,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
673,7,201,瓢,符霄,hiau5,2.04宵,16,奉,脣音,輕脣音,全濁,,h,h,h,h,h,ㄏ,喜,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
674,4,201,蜱,彌遙,biau5,2.04宵,17,明,脣音,重脣音,次濁,收聲,b,b,b,bb,b,ㆠ,門,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
675,8,201,苗,武瀌,biau5,2.04宵,18,微,脣音,輕脣音,次濁,收聲,b,b,b,bb,b,ㆠ,門,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
676,36,201,要,於霄,Øiau1,2.04宵,19,影,喉音,喉音,全清,發聲,Ø,,,,,,英,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
677,40,201,鴞,于嬌,Øiau5,2.04宵,20,云,喉音,喉音,次濁,發聲,Ø,,,,,,英,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
678,19,201,喬,巨嬌,kiau5,2.04宵,21,群,牙音,牙音,全濁,,k,k,k,g,k,ㄍ,求,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
679,22,201,鍫,七遙,chiau1,2.04宵,22,清,齒音,齒頭音,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
680,36,201,妖,於喬,Øiau1,2.04宵,23,影,喉音,喉音,全清,發聲,Ø,,,,,,英,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
681,18,201,蹻,去遙,khiau1,2.04宵,24,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
682,29,201,怊,尺招,chiau1,2.04宵,25,昌,齒音,正齒近舌上,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
683,6,201,爂,撫招,hiau1,2.04宵,26,敷,脣音,輕脣音,次清,送氣,h,h,h,h,h,ㄏ,喜,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
684,19,201,翹,渠遙,kiau5,2.04宵,27,群,牙音,牙音,全濁,,k,k,k,g,k,ㄍ,求,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
685,41,201,燎,力昭,liau5,2.04宵,28,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
686,18,201,趫,起嚻,khiau1,2.04宵,29,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,宵開3舒聲,2.04宵,效,宵,宵,平,開,3,開細,iau,iau,iau,iao,iau,ㄧㄠ,嬌
687,38,205,肴,胡茅,hau5,2.05肴,1,匣,喉音,喉音,全濁,送氣,h,h,h,h,h,ㄏ,喜,肴開2舒聲,2.05肴,效,肴,肴,平,開,2,開洪,au,au,au,ao,au,ㄠ,交
