識別號,廣韻韻母識別號,韻系列號,韻系行號,韻目索引,目次識別號,目次,攝,韻系,韻目,調,呼,等,韻母,切語下字集,等呼,韻母拼音碼,備註
95,91,16,3,16-3,138,4.16怪,蟹,皆,怪,去,開,2,皆開2舒聲,戒介界拜,開洪,ai,
97,43,16,1,16-1,16,1.14皆,蟹,皆,皆,平,合,2,皆合2舒聲,乖懷淮,合洪,uai,
98,43,16,2,16-2,77,3.13駭,蟹,皆,駭,上,合,2,皆合2舒聲,,合洪,uai,
99,43,16,3,16-3,138,4.16怪,蟹,皆,怪,去,合,2,皆合2舒聲,怪壞,合洪,uai,
103,92,17,3,17-3,139,4.17夬,蟹,夬,夬,去,開,2,夬開2舒聲,介喝犗,開洪,ai,
107,44,17,3,17-3,139,4.17夬,蟹,夬,夬,去,合,2,夬合2舒聲,夬快話邁,合洪,uai,
109,125,18,1,18-1,18,1.15灰,蟹,灰,灰,平,合,1,灰合1舒聲,灰恢回杯,合洪,ue,
110,125,18,2,18-2,79,3.14賄,蟹,灰,賄,上,合,1,灰合1舒聲,罪猥賄,合洪,ue,
111,125,18,3,18-3,140,4.18隊,蟹,灰,隊,去,合,1,灰合1舒聲,隊內内對繢妹佩昧輩,合洪,ue,
113,93,19,1,19-1,19,1.16咍,蟹,咍,咍,平,開,1,咍開1舒聲,來開哀才哉,開洪,ai,
114,93,19,2,19-2,80,3.15海,蟹,咍,海,上,開,1,咍開1舒聲,忍軫引盡腎敏改亥愷宰紿乃在,開洪,ai,
115,93,19,3,19-3,141,4.19代,蟹,咍,代,去,開,1,咍開1舒聲,代刃晉遴振印覲耐漑槩愛,開洪,ai,
119,127,20,3,20-3,142,4.20廢,蟹,廢,廢,去,合,1,廢合1舒聲,穢肺吠廢,合洪,ue,
121,94,21,1,21-1,21,1.17眞,臻,眞,眞,平,開,3,眞開3舒聲,鄰人真眞珍巾銀賓,開細,in,
122,94,21,2,21-2,82,3.16軫,臻,眞,軫,上,開,3,眞開3舒聲,忍軫引盡腎敏,開細,in,
123,94,21,3,21-3,143,4.21震,臻,眞,震,去,開,3,眞開3舒聲,刃晉遴振印覲,開細,in,
124,95,21,4,21-4,204,5.05質,臻,眞,質,入,開,3,眞開3促聲,栗悉七吉質日一乙叱必畢筆密,開細,it,
125,1,22,1,22-1,22,1.18諄,臻,諄,諄,平,合,3,諄合3舒聲,倫綸脣勻遵均迍旬囷筠贇,合細,un,
126,1,22,2,22-2,83,3.17準,臻,諄,準,上,合,3,諄合3舒聲,尹準允殞紖,合細,un,
127,1,22,3,22-3,144,4.22稕,臻,諄,稕,去,合,3,諄合3舒聲,閏峻順,合細,un,
128,2,22,4,22-4,205,5.06術,臻,諄,術,入,合,3,諄合3促聲,術律聿卹率,合細,ut,
129,96,23,1,23-1,23,1.19臻,臻,臻,臻,平,開,2,臻開2舒聲,詵臻,開細,in,
130,96,23,2,23-2,84,,臻,臻,𧤛,上,開,2,臻開2舒聲,,開細,in,無切語
131,96,23,3,23-3,145,4.21櫬,臻,臻,櫬,去,開,2,臻開2舒聲,,開細,in,無切語
132,97,23,4,23-4,206,5.07櫛,臻,臻,櫛,入,開,2,臻開2促聲,瑟櫛,開細,it,
133,3,24,1,24-1,24,1.20文,臻,文,文,平,合,3,文合3舒聲,云分文,合細,un,
134,3,24,2,24-2,85,3.18吻,臻,文,吻,上,合,3,文合3舒聲,粉吻,合細,un,
135,3,24,3,24-3,146,4.23問,臻,文,問,去,合,3,文合3舒聲,運問,合細,un,
136,4,24,4,24-4,207,5.08物,臻,文,物,入,合,3,文合3促聲,弗物勿,合細,ut,
137,98,25,1,25-1,25,1.21欣,臻,欣,欣,平,開,3,欣開3舒聲,斤欣,開細,in,
138,98,25,2,25-2,86,3.19隱,臻,欣,隱,上,開,3,欣開3舒聲,謹隱,開細,in,
139,98,25,3,25-3,147,4.24焮,臻,欣,焮,去,開,3,欣開3舒聲,焮靳,開細,in,
140,99,25,4,25-4,208,5.09迄,臻,欣,迄,入,開,3,欣開3促聲,乞迄訖,開細,it,
141,9,26,1,26-1,26,1.22元,臻,元,元,平,開,3,元開3舒聲,言軒,開細,ian,
142,9,26,2,26-2,87,3.20阮,臻,元,阮,上,開,3,元開3舒聲,偃幰遠,開細,ian,
143,9,26,3,26-3,148,4.25願,臻,元,願,去,開,3,元開3舒聲,堰建,開細,ian,
144,10,26,4,26-4,209,5.10月,臻,元,月,入,開,3,元開3促聲,訐竭謁歇,開細,iat,
145,65,26,1,26-1,26,1.22元,臻,元,元,平,合,3,元合3舒聲,袁元煩,開細,uan,
146,65,26,2,26-2,87,3.20阮,臻,元,阮,上,合,3,元合3舒聲,阮遠晚,開細,uan,
147,65,26,3,26-3,148,4.25願,臻,元,願,去,合,3,元合3舒聲,願怨万販,開細,uan,
148,66,26,4,26-4,209,5.10月,臻,元,月,入,合,3,元合3促聲,厥越月伐發,開細,uat,
149,5,27,1,27-1,27,1.23魂,臻,魂,魂,平,合,3,魂合3舒聲,昆尊渾魂奔,合洪,un,
150,5,27,2,27-2,88,3.21混,臻,魂,混,上,合,3,魂合3舒聲,損袞衮忖本,合洪,un,
151,5,27,3,27-3,149,4.26慁,臻,魂,慁,去,合,3,魂合3舒聲,困寸悶,合洪,un,
152,6,27,4,27-4,210,5.11沒,臻,魂,沒,入,合,3,魂合3促聲,骨忽没沒勃,合洪,ut,
153,7,28,1,28-1,28,1.24痕,臻,痕,痕,平,開,1,痕開1舒聲,根痕恩,開洪,un,
154,7,28,2,28-2,89,3.22很,臻,痕,很,上,開,1,痕開1舒聲,墾很,開洪,un,
155,7,28,3,28-3,150,4.27恨,臻,痕,恨,去,開,1,痕開1舒聲,艮恨,開洪,un,
156,8,28,4,28-4,211,5.11麧,臻,痕,麧,入,開,1,痕開1促聲,,開洪,ut,
157,22,29,1,29-1,29,1.25寒,山,寒,寒,平,開,1,寒開1舒聲,安寒干,開洪,an,
158,22,29,2,29-2,90,3.23旱,山,寒,旱,上,開,1,寒開1舒聲,笴旱但,開洪,an,
159,22,29,3,29-3,151,4.28翰,山,寒,翰,去,開,1,寒開1舒聲,旱案贊賛按旦旰,開洪,an,
160,23,29,4,29-4,212,5.12曷,山,寒,曷,入,開,1,寒開1促聲,葛曷割達,開洪,at,
161,67,30,1,30-1,30,1.26桓,山,桓,桓,平,合,1,桓合1舒聲,官丸端潘袁元煩,合洪,uan,
162,67,30,2,30-2,91,3.24緩,山,桓,緩,上,合,1,桓合1舒聲,管伴滿緩纂,合洪,uan,
163,67,30,3,30-3,152,4.29換,山,桓,換,去,合,1,桓合1舒聲,換喚玩段貫筭亂半幔,合洪,uan,
164,68,30,4,30-4,213,5.13末,山,桓,末,入,合,1,桓合1促聲,括活栝撥末,合洪,uat,
165,24,31,1,31-1,31,1.27刪,山,刪,刪,平,開,2,刪開2舒聲,姦顏顔閒,開洪,an,
166,24,31,2,31-2,92,3.25潸,山,刪,潸,上,開,2,刪開2舒聲,赧,開洪,an,
167,24,31,3,31-3,153,4.30諫,山,刪,諫,去,開,2,刪開2舒聲,晏諫鴈澗,開洪,an,
168,25,31,4,31-4,214,5.14黠,山,刪,黠,入,開,2,刪開2促聲,黠八拔,開洪,at,
169,69,31,1,31-1,31,1.27刪,山,刪,刪,平,合,2,刪合2舒聲,還關班,合洪,uan,
170,69,31,2,31-2,92,3.25潸,山,刪,潸,上,合,2,刪合2舒聲,綰板版鯇,合洪,uan,
171,69,31,3,31-3,153,4.30諫,山,刪,諫,去,合,2,刪合2舒聲,患慣,合洪,uan,
172,70,31,4,31-4,214,5.14黠,山,刪,黠,入,合,2,刪合2促聲,滑婠,合洪,uat,
