識別號,漢字,切音,字韻,聲調,原資料拼音,舒促聲,聲,韻,調,拼音碼,雅俗通標音,十五音標音,常用度
102,勳,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,0.01
103,勛,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
104,葷,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
105,煇,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
106,焄,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
107,芬,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
108,氛,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
109,棼,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
110,雰,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
111,紛,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
112,梤,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
113,殙,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
114,㱪,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,0.01
115,馚,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
116,緍,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
117,痻,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
118,烟,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
119,纁,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
120,𠉣,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
121,汾,喜,君,上平,hun1,舒聲,h,un,1,hun1,君上平聲喜,君一喜,
122,㤻,柳,君,上上,lun2,舒聲,l,un,2,lun2,君上上聲柳,君二柳,
123,稐,柳,君,上上,lun2,舒聲,l,un,2,lun2,君上上聲柳,君二柳,
124,耣,柳,君,上上,lun2,舒聲,l,un,2,lun2,君上上聲柳,君二柳,
125,忍,柳,君,上上,lun2,舒聲,l,un,2,lun2,君上上聲柳,君二柳,
126,碖,柳,君,上上,lun2,舒聲,l,un,2,lun2,君上上聲柳,君二柳,
127,輑,柳,君,上上,lun2,舒聲,l,un,2,lun2,君上上聲柳,君二柳,
128,本,邊,君,上上,pun2,舒聲,p,un,2,pun2,君上上聲邊,君二邊,
129,𤲙,邊,君,上上,pun2,舒聲,p,un,2,pun2,君上上聲邊,君二邊,0.01
130,畚,邊,君,上上,pun2,舒聲,p,un,2,pun2,君上上聲邊,君二邊,
131,滾,求,君,上上,kun2,舒聲,k,un,2,kun2,君上上聲求,君二求,
132,袞,求,君,上上,kun2,舒聲,k,un,2,kun2,君上上聲求,君二求,
133,㨰,求,君,上上,kun2,舒聲,k,un,2,kun2,君上上聲求,君二求,
134,䜇,求,君,上上,kun2,舒聲,k,un,2,kun2,君上上聲求,君二求,
135,緄,求,君,上上,kun2,舒聲,k,un,2,kun2,君上上聲求,君二求,
136,呁,求,君,上上,kun2,舒聲,k,un,2,kun2,君上上聲求,君二求,
137,鯀,求,君,上上,kun2,舒聲,k,un,2,kun2,君上上聲求,君二求,
138,𦓼,求,君,上上,kun2,舒聲,k,un,2,kun2,君上上聲求,君二求,
139,侰,求,君,上上,kun2,舒聲,k,un,2,kun2,君上上聲求,君二求,0.01
140,僒,求,君,上上,kun2,舒聲,k,un,2,kun2,君上上聲求,君二求,
141,𨎊,求,君,上上,kun2,舒聲,k,un,2,kun2,君上上聲求,君二求,
142,捆,去,君,上上,khun2,舒聲,kh,un,2,khun2,君上上聲去,君二去,
143,丨,去,君,上上,khun2,舒聲,kh,un,2,khun2,君上上聲去,君二去,
144,窘,去,君,上上,khun2,舒聲,kh,un,2,khun2,君上上聲去,君二去,
145,捃,去,君,上上,khun2,舒聲,kh,un,2,khun2,君上上聲去,君二去,
146,悃,去,君,上上,khun2,舒聲,kh,un,2,khun2,君上上聲去,君二去,
147,懇,去,君,上上,khun2,舒聲,kh,un,2,khun2,君上上聲去,君二去,
148,𢡆,去,君,上上,khun2,舒聲,kh,un,2,khun2,君上上聲去,君二去,0.01
149,豤,去,君,上上,khun2,舒聲,kh,un,2,khun2,君上上聲去,君二去,
150,綑,去,君,上上,khun2,舒聲,kh,un,2,khun2,君上上聲去,君二去,
151,稇,去,君,上上,khun2,舒聲,kh,un,2,khun2,君上上聲去,君二去,
152,裍,去,君,上上,khun2,舒聲,kh,un,2,khun2,君上上聲去,君二去,
153,墾,去,君,上上,khun2,舒聲,kh,un,2,khun2,君上上聲去,君二去,
154,梱,去,君,上上,khun2,舒聲,kh,un,2,khun2,君上上聲去,君二去,
155,閫,去,君,上上,khun2,舒聲,kh,un,2,khun2,君上上聲去,君二去,0.01
156,壼,去,君,上上,khun2,舒聲,kh,un,2,khun2,君上上聲去,君二去,
157,𦓾,去,君,上上,khun2,舒聲,kh,un,2,khun2,君上上聲去,君二去,
158,僒,去,君,上上,khun2,舒聲,kh,un,2,khun2,君上上聲去,君二去,
159,盾,地,君,上上,tun2,舒聲,t,un,2,tun2,君上上聲地,君二地,
160,伅,地,君,上上,tun2,舒聲,t,un,2,tun2,君上上聲地,君二地,
161,楯,地,君,上上,tun2,舒聲,t,un,2,tun2,君上上聲地,君二地,0.01
162,䃦,地,君,上上,tun2,舒聲,t,un,2,tun2,君上上聲地,君二地,
163,𦯁,地,君,上上,tun2,舒聲,t,un,2,tun2,君上上聲地,君二地,
164,撪,頗,君,上上,phun2,舒聲,ph,un,2,phun2,君上上聲頗,君二頗,
165,翸,頗,君,上上,phun2,舒聲,ph,un,2,phun2,君上上聲頗,君二頗,
166,栩,頗,君,上上,phun2,舒聲,ph,un,2,phun2,君上上聲頗,君二頗,
167,呠,頗,君,上上,phun2,舒聲,ph,un,2,phun2,君上上聲頗,君二頗,
168,𠱥,頗,君,上上,phun2,舒聲,ph,un,2,phun2,君上上聲頗,君二頗,
169,氽,他,君,上上,thun2,舒聲,th,un,2,thun2,君上上聲他,君二他,
170,𢚺,他,君,上上,thun2,舒聲,th,un,2,thun2,君上上聲他,君二他,
171,黗,他,君,上上,thun2,舒聲,th,un,2,thun2,君上上聲他,君二他,
