"漢字識別號","字","同音字序","切語","拼音","字義","小韻字","目次編碼","小韻字序號","小韻字集","字數","發音部位","清濁","發送收","切語上字集","廣韻聲母","雅俗通聲母","上字標音","聲母國際音標","白話字聲母","閩拼聲母","台羅聲母","方音聲母","韻系列號","韻系行號","韻目索引","目次","攝","韻系","韻目","調","呼","等","韻母","切語下字集","等呼","廣韻韻母","雅俗通韻母","下字標音","韻母國際音標","白話字韻母","閩拼韻母","台羅韻母","方音韻母"
22,"銅",5,"徒紅","tong5","金之一品","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
23,"桐",6,"徒紅","tong5","木名月令曰淸明之日桐始華又桐廬縣在睦州亦姓有桐君藥録兩卷","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
24,"峒",7,"徒紅","tong5","崆峒山名","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
25,"硐",8,"徒紅","tong5","磨也","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
26,"𦨴",9,"徒紅","tong5","𦨴舩","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
27,"𧱁",10,"徒紅","tong5","獸似豕出泰山","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
28,"筒",11,"徒紅","tong5","竹筒又竹名射筒吳都賦曰其竹則桂箭射筒","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
29,"瞳",12,"徒紅","tong5","目瞳","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
30,"㼧",13,"徒紅","tong5","㼧瓦","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
31,"𤭁",14,"徒紅","tong5","上同","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
32,"罿",15,"徒紅","tong5","車上網又音衝","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
33,"犝",16,"徒紅","tong5","犝牛無角","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
34,"筩",17,"徒紅","tong5","竹筩","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
35,"潼",18,"徒紅","tong5","水名出廣漢郡亦關名又通衝二音","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
36,"曈",19,"徒紅","tong5","曈曨日欲明也又他孔切","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
37,"洞",20,"徒紅","tong5","洪洞縣名在晉州北又徒弄切","同","1.01東",2,"同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿",58,"舌頭音","全濁","","徒同特度杜唐堂田陀地","定","地","t","t","t","d","t","ㄉ",1,1,"01-1","1.01東","通","東","東","平","開",1,"東開1","工公紅東洪空","獨洪","東開1舒聲","公","ong","ɔŋ","ong","ong","ong","ㆲ"
