識別號,韻系列號,韻系行號,韻目索引,目次識別號,目次,攝,韻系,韻目,調,呼,等,韻母,切語下字,等呼,韻母拼音碼,備註
109,18,1,18-1,18,1.15灰,蟹,灰,灰,平,合,1,灰合1,灰恢回杯,合洪,ue,
110,18,2,18-2,79,3.14賄,蟹,灰,賄,上,合,1,賄合1,罪猥賄,合洪,ue,
111,18,3,18-3,140,4.18隊,蟹,灰,隊,去,合,1,隊合1,隊內内對繢妹佩昧輩,合洪,ue,
112,18,4,18-4,201,,蟹,灰,,,,,,,,,
113,19,1,19-1,19,1.16咍,蟹,咍,咍,平,開,1,咍開1,來開哀才哉,開洪,ue,
114,19,2,19-2,80,3.15海,蟹,咍,海,上,開,1,海開1,忍軫引盡腎敏改亥愷宰紿乃在,開洪,ai,
115,19,3,19-3,141,4.19代,蟹,咍,代,去,開,1,代開1,代刃晉遴振印覲耐漑槩愛,開洪,ai,
116,19,4,19-4,202,,蟹,咍,,,,,,,,,
117,20,1,20-1,20,,蟹,廢,,,,,,,,,
118,20,2,20-2,81,,蟹,廢,,,,,,,,,
119,20,3,20-3,142,4.20廢,蟹,廢,廢,去,合,1,廢合1,穢肺吠廢,合洪,ue,
120,20,4,20-4,203,,蟹,廢,,,,,,,,,
121,21,1,21-1,21,1.17眞,臻,眞,眞,平,開,3,眞開3,鄰人真眞珍巾銀賓,開細,in,
122,21,2,21-2,82,3.16軫,臻,眞,軫,上,開,3,軫開3,忍軫引盡腎敏,開細,in,
123,21,3,21-3,143,4.21震,臻,眞,震,去,開,3,震開3,刃晉遴振印覲,開細,in,
124,21,4,21-4,204,5.05質,臻,眞,質,入,開,3,質開3,栗悉七吉質日一乙叱必畢筆密,開細,it,
125,22,1,22-1,22,1.18諄,臻,諄,諄,平,合,3,諄合3,倫綸脣勻遵均迍旬囷筠贇,合細,un,
126,22,2,22-2,83,3.17準,臻,諄,準,上,合,3,準合3,尹準允殞紖,合細,un,
127,22,3,22-3,144,4.22稕,臻,諄,稕,去,合,3,稕合3,閏峻順,合細,un,
128,22,4,22-4,205,5.06術,臻,諄,術,入,合,3,術合3,術律聿卹率,合細,ut,
129,23,1,23-1,23,1.19臻,臻,臻,臻,平,開,2,臻開2,詵臻,開細,en,
130,23,2,23-2,84,,臻,臻,𧤛,上,開,2,𧤛開2,,開細,en,無切語
131,23,3,23-3,145,4.21櫬,臻,臻,櫬,去,開,2,櫬開2,,開細,en,無切語
132,23,4,23-4,206,5.07櫛,臻,臻,櫛,入,開,2,櫛開2,瑟櫛,開細,et,
133,24,1,24-1,24,1.20文,臻,文,文,平,合,3,文合3,云分文,合細,un,
134,24,2,24-2,85,3.18吻,臻,文,吻,上,合,3,吻合3,粉吻,合細,un,
135,24,3,24-3,146,4.23問,臻,文,問,去,合,3,問合3,運問,合細,un,
136,24,4,24-4,207,5.08物,臻,文,物,入,合,3,物合3,弗物勿,合細,ut,
137,25,1,25-1,25,1.21欣,臻,欣,欣,平,開,3,欣開3,斤欣,開細,in,
138,25,2,25-2,86,3.19隱,臻,欣,隱,上,開,3,隱開3,謹隱,開細,in,
139,25,3,25-3,147,4.24焮,臻,欣,焮,去,開,3,焮開3,焮靳,開細,in,
140,25,4,25-4,208,5.09迄,臻,欣,迄,入,開,3,迄開3,乞迄訖,開細,it,
141,26,1,26-1,26,1.22元,臻,元,元,平,開,3,元開3,言軒,開細,ian,
142,26,2,26-2,87,3.20阮,臻,元,阮,上,開,3,阮開3,偃幰遠,開細,ian,
143,26,3,26-3,148,4.25願,臻,元,願,去,開,3,願開3,堰建,開細,ian,
144,26,4,26-4,209,5.10月,臻,元,月,入,開,3,月開3,訐竭謁歇,開細,iat,
145,26,1,26-1,26,1.22元,臻,元,元,平,合,3,元合3,袁元煩,開細,uan,
146,26,2,26-2,87,3.20阮,臻,元,阮,上,合,3,阮合3,阮遠晚,開細,uan,
147,26,3,26-3,148,4.25願,臻,元,願,去,合,3,願合3,願怨万販,開細,uan,
148,26,4,26-4,209,5.10月,臻,元,月,入,合,3,月合3,厥越月伐發,開細,uat,
149,27,1,27-1,27,1.23魂,臻,魂,魂,平,合,3,魂合3,昆尊渾魂奔,合洪,un,
150,27,2,27-2,88,3.21混,臻,魂,混,上,合,3,混合3,損袞衮忖本,合洪,un,
151,27,3,27-3,149,4.26慁,臻,魂,慁,去,合,3,慁合3,困寸悶,合洪,un,
152,27,4,27-4,210,5.11沒,臻,魂,沒,入,合,3,沒合3,骨忽没沒勃,合洪,ut,
153,28,1,28-1,28,1.24痕,臻,痕,痕,平,開,1,痕開1,根痕恩,開洪,irn,
154,28,2,28-2,89,3.22很,臻,痕,很,上,開,1,很開1,墾很,開洪,irn,
155,28,3,28-3,150,4.27恨,臻,痕,恨,去,開,1,恨開1,艮恨,開洪,irn,
156,28,4,28-4,211,5.11麧,臻,痕,麧,入,開,1,麧開1,,開洪,irt,
157,29,1,29-1,29,1.25寒,山,寒,寒,平,開,1,寒開1,安寒干,開洪,an,
158,29,2,29-2,90,3.23旱,山,寒,旱,上,開,1,旱開1,笴旱但,開洪,an,
159,29,3,29-3,151,4.28翰,山,寒,翰,去,開,1,翰開1,旱案贊賛按旦旰,開洪,an,
160,29,4,29-4,212,5.12曷,山,寒,曷,入,開,1,曷開1,葛曷割達,開洪,at,
161,30,1,30-1,30,1.26桓,山,桓,桓,平,合,1,桓合1,官丸端潘袁元煩,合洪,uan,
