識別號,切語,拼音,小韻字,目次編碼,小韻字序號,小韻字集,字數,上字表識別號,聲母,聲母拼音碼,發音部位,清濁,發送收,下字表識別號,韻母,韻母拼音碼,調,調號,備註,原有備註,異體字,其它備註
18,敷空,hong1,豐,1.01東,18,豐酆蘴灃寷麷㒥㠦,8,18,敷,h,輕脣音,次清,送氣,1,東開1,ong,平,1,,,,
19,昌終,chiong1,充,1.01東,19,充珫茺㤝䘪𪎽㳘,8,31,穿,ch,正齒近舌上,次清,送氣,5,東開3,iong,平,1,,,,
20,力中,liong5,隆,1.01東,20,隆癃𪔳窿霳㚅,7,40,來,l,半舌,次濁,收聲,5,東開3,iong,平,5,,,,
21,苦紅,khong1,空,1.01東,21,空箜崆椌硿䅝悾埪倥涳鵼𦱇𢃐𧌆,17,2,溪,kh,牙音,次清,送氣,1,東開1,ong,平,1,,,,
22,古紅,kong1,公,1.01東,22,公功工疘蚣玒釭魟攻㓚愩碽篢,13,1,見,k,牙音,全清,發聲,1,東開1,ong,平,1,,,,
23,莫紅,mong5,蒙,1.01東,23,蒙冡濛𩦺艨䑃矇饛䰒檬𨢊䴿𨣘鸏幪罞𢄐髳蠓𦿏雺霿霚朦䀄懜霥,32,16,明,m,重脣音,次濁,收聲,1,東開1,ong,平,5,,,[礞],
24,盧紅,long5,籠,1.01東,24,籠豅㰍朧𡃡龓䪊瀧聾𨏠礱䆍𪚗嚨蘢櫳𤮨巃襱𧙥瓏曨鸗𩟭蠪㟅屸,33,40,來,l,半舌,次濁,收聲,1,東開1,ong,平,5,,,,
25,戸公,hong5,洪,1.01東,25,洪鉷訌紅虹仜鴻葒葓谼䉺烘洚渱𨹁魟䧆䪦𦏺䫹𨾊䂫,25,37,匣,h,喉音,全濁,送氣,1,東開1,ong,平,5,,,䫹=峰,戸 改 戶
26,徂紅,cong5,叢,1.01東,26,叢藂䕺潨𥵫,6,23,從,c,齒頭音,全濁,,1,東開1,ong,平,5,,,,
27,烏紅,Øong1,翁,1.01東,27,翁螉䱵蓊䈵䩺㮬𩔚,9,35,影,Ø,喉音,全清,發聲,1,東開1,ong,平,1,,,,
28,倉紅,chong1,怱,1.01東,28,怱忩葱楤𨍉聦繱𤧚騘䗓囪𨣭鍯㷓𢉛,19,22,清,ch,齒頭音,次清,送氣,1,東開1,ong,平,1,,,匆蔥樬䡯聰𦇎璁驄蟌𨣼鏓熜𢊕,
29,他紅,thong1,通,1.01東,29,通蓪侗恫痌曈俑𧳆𨀜,11,6,透,th,舌頭音,次清,送氣,1,東開1,ong,平,1,,,,
30,子紅,cong1,葼,1.01東,30,葼鬷嵕猣豵鯼椶騣𩮀䗥嵸艐蝬堫𥓻翪緵㚇㣭稯鬉,23,21,精,c,齒頭音,全清,發聲,1,東開1,ong,平,1,,,{𩮀/鬃}{椶/棕},
31,薄紅,pong5,蓬,1.01東,31,蓬𥭗篷髼蜂芃𧚋韸䮾𩖛,13,15,並,p,重脣音,全濁,,1,東開1,ong,平,5,,,,
32,呼東,hong1,烘,1.01東,32,烘叿魟谾𩐠𩗄,8,36,曉,h,喉音,次清,送氣,1,東開1,ong,平,1,,,,
33,五東,gong5,㟅,1.01東,33,㟅,1,4,疑,g,牙音,次濁,收聲,1,東開1,ong,平,5,,,,
34,蘇公,song1,檧,1.01東,34,檧憽㬝,3,24,心,s,齒頭音,全清,送氣,1,東開1,ong,平,1,,,[憽/忪],
35,都宗,tong1,冬,1.02冬,1,冬𠔙苳䳉笗𩂓𧲴,10,5,端,t,舌頭音,全清,發聲,9,冬開1,ong,平,1,,,,
36,徒冬,tong5,彤,1.02冬,2,彤疼佟炵䳋鼕𢥞𢾮爞㤏痋䂈鉵𧹝𩦶浵䶱𠩁鉖𨜳㠽赨,28,7,定,t,舌頭音,全濁,,9,冬開1,ong,平,5,,,,
37,藏宗,cong5,賨,1.02冬,3,賨琮悰潨淙慒鬃㼻孮誴𢃏,12,23,從,c,齒頭音,全濁,,9,冬開1,ong,平,5,,,,
38,奴冬,nong5,農,1.02冬,4,農䢉辳𨑋𩟊噥𩅽憹㺜儂𧗕膿,16,8,泥,n,舌頭音,次濁,收聲,9,冬開1,ong,平,5,,,,
39,古冬,kong1,攻,1.02冬,5,攻釭,2,1,見,k,牙音,全清,發聲,9,冬開1,ong,平,1,,,,
40,戸冬,hong5,䃔,1.02冬,6,䃔洚㗢𩘎,5,37,匣,h,喉音,全濁,送氣,9,冬開1,ong,平,5,,,,
41,力冬,long5,䃧,1.02冬,7,䃧䥢𣫣,4,40,來,l,半舌,次濁,收聲,9,冬開1,ong,平,5,,,,
42,作冬,cong1,宗,1.02冬,8,宗倧,2,21,精,c,齒頭音,全清,發聲,9,冬開1,ong,平,1,,,,
43,私宗,song1,鬆,1.02冬,9,鬆䯳,2,24,心,s,齒頭音,全清,送氣,9,冬開1,ong,平,1,,,,
44,他冬,thong1,炵,1.02冬,10,炵,1,6,透,th,舌頭音,次清,送氣,9,冬開1,ong,平,1,,,,
45,職容,ciong1,鍾,1.03鍾,1,鍾鐘蚣忪䇗蹱彸衳伀橦籦妐㕬𧢸炂𦬘𨳗鈆,21,30,照,c,正齒近舌上,全清,發聲,13,鍾開3,iong,平,1,,,,
46,力鍾,liong5,龍,1.03鍾,2,龍𪚝躘鸗驡𪚠籠𦪽蘢,12,40,來,l,半舌,次濁,收聲,13,鍾開3,iong,平,5,,,,
47,書容,siong1,舂,1.03鍾,3,舂𧐍摏蹖𪄻憃,8,33,審,s,正齒近舌上,全清,送氣,13,鍾開3,iong,平,1,,,,
48,祥容,siong5,松,1.03鍾,4,松㮤淞訟,4,25,邪,s,齒頭音,全濁,送氣,13,鍾開3,iong,平,5,,,,
49,尺容,chiong1,𧘂,1.03鍾,5,𧘂衝罿憧䡴艟潼褈𠟍𠝤䂌,14,31,穿,ch,正齒近舌上,次清,送氣,13,鍾開3,iong,平,1,,,,
50,餘封,Øiong5,容,1.03鍾,6,容溶滽庸𦤘𧴄㺎𤛑墉鎔鏞銿鄘傭𪅟㼸𤮇鱅蓉䗤傛褣搈瑢䈶嵱頌㝐䡆㟾𨲟𪃾槦㣑𢧳,43,39,喻,Ø,喉音,次濁,發聲,13,鍾開3,iong,平,5,,,,
51,府容,hiong1,封,1.03鍾,7,封𡉚犎葑崶,6,17,非,h,輕脣音,全清,發聲,13,鍾開3,iong,平,1,,,篈㜂,
52,許容,hiong1,胷,1.03鍾,8,胷凶𣧑銎洶恟𧧗兇訩匈,12,36,曉,h,喉音,次清,送氣,13,鍾開3,iong,平,1,,,[胷/胸],
53,魚容,giong5,顒,1.03鍾,9,顒𩤛鰅喁,5,4,疑,g,牙音,次濁,收聲,13,鍾開3,iong,平,5,,,,
54,於容,Øiong1,邕,1.03鍾,10,邕雍噰嗈郺澭灉癰罋廱饔壅雝𪄉㻾𧴗,18,35,影,Ø,喉音,全清,發聲,13,鍾開3,iong,平,1,,,蕹,
55,女容,niong5,醲,1.03鍾,11,醲𨑊濃襛穠檂𪒬𨲳,11,12,娘,n,舌上音,次濁,收聲,13,鍾開3,iong,平,5,,,㺜,
56,直容,tiong5,重,1.03鍾,12,重穜緟褈䳯蝩,6,11,澄,t,舌上音,全濁,,13,鍾開3,iong,平,5,,,,
57,疾容,ciong5,從,1.03鍾,13,從从𩀰,4,23,從,c,齒頭音,全濁,,13,鍾開3,iong,平,5,,,,
58,丑凶,thiong1,蹱,1.03鍾,14,蹱傭𦟛𨙦䝑𨤩𪒒,11,10,徹,th,舌上音,次清,送氣,13,鍾開3,iong,平,1,,,,
59,符容,hiong5,逢,1.03鍾,15,逢縫漨䩼𥎌夆𥛝捀,10,19,奉,h,輕脣音,全濁,,13,鍾開3,iong,平,5,,,,
60,敷容,hiong1,峯,1.03鍾,16,峯鋒丰𡴀𢓱妦蠭蜂𧒒蘴桻㷭烽莑仹㸼,19,18,敷,h,輕脣音,次清,送氣,13,鍾開3,iong,平,1,,,[峯/峰],
61,即容,ciong1,縱,1.03鍾,17,縱𣯨蹤䡮樅磫豵熧𧺣,11,21,精,c,齒頭音,全清,發聲,13,鍾開3,iong,平,1,,,,
62,而容,jiong5,茸,1.03鍾,18,茸䩸髶䇯襛穠搑𥎂榵穁,11,41,日,j,半齒,次濁,收聲,13,鍾開3,iong,平,5,,,,
63,渠容,khiong5,蛩,1.03鍾,19,蛩邛舼𦨰筇輁𦭭𥳎䂬蛬𠌖𩬰桏䅃𤤶𩢽,23,3,群,kh,牙音,全濁,,13,鍾開3,iong,平,5,,,,
64,蜀庸,siong5,鱅,1.03鍾,20,鱅慵𩌨,4,34,禪,s,正齒近舌上,全濁,,13,鍾開3,iong,平,5,,,,
65,九容,kiong1,恭,1.03鍾,21,恭龔供珙䢼共𤱨廾髸䳍,11,1,見,k,牙音,全清,發聲,13,鍾開3,iong,平,1,,,,
66,息恭,siong1,蜙,1.03鍾,22,蜙淞凇鬆倯𢔋,7,24,心,s,齒頭音,全清,送氣,13,鍾開3,iong,平,1,,,,
67,七恭,chiong1,樅,1.03鍾,23,樅鏦從暰䗥瑽摐䐫𥡬𧺣鬆𨑪,15,22,清,ch,齒頭音,次清,送氣,13,鍾開3,iong,平,1,,,,
68,曲恭,khiong1,銎,1.03鍾,24,銎𥳎,3,2,溪,kh,牙音,次清,送氣,13,鍾開3,iong,平,1,,,,
69,古雙,kang1,江,1.04江,1,江扛杠茳釭矼豇肛玒𧢸䜫,12,1,見,k,牙音,全清,發聲,17,江開2,ang,平,1,,,,
70,莫江,mang5,厖,1.04江,2,厖駹狵尨浝哤牻娏䵨㟌蛖𥆙痝𠈵,16,16,明,m,重脣音,次濁,收聲,17,江開2,ang,平,5,,,,
71,女江,nang5,𦗳,1.04江,3,𦗳𣰊涳噥𩟊鬞䁸𪆯,12,12,娘,n,舌上音,次濁,收聲,17,江開2,ang,平,5,,,,
72,楚江,chang1,囪,1.04江,4,囪䆫牎窓䎫堫摐鏦𥍷,10,27,初,ch,正齒近齒頭,次清,送氣,17,江開2,ang,平,1,,,[䆫/窗],
73,博江,pang1,邦,1.04江,5,邦𤰫梆垹,5,13,幫,p,重脣音,全清,發聲,17,江開2,ang,平,1,,,,
74,下江,hang5,栙,1.04江,6,栙䜶降缸缻洚夅跭,8,37,匣,h,喉音,全濁,送氣,17,江開2,ang,平,5,,,,
75,匹江,phang1,胮,1.04江,7,胮𤵸𩐨𪔔𪐿,9,14,滂,ph,重脣音,次清,送氣,17,江開2,ang,平,1,,,,
76,呂江,lang5,瀧,1.04江,8,瀧䮾,2,40,來,l,半舌,次濁,收聲,17,江開2,ang,平,5,,,,品江切
77,所江,sang1,雙,1.04江,9,雙艭䉶𢥠䝄瀧𨇯,9,29,疏,s,正齒近齒頭,全清,發聲,17,江開2,ang,平,1,,,,
78,薄江,pang5,龐,1.04江,10,龐逄胮𩐨舽,6,15,並,p,重脣音,全濁,,17,江開2,ang,平,5,,,,
79,許江,hang1,肛,1.04江,11,肛啌谾舡,4,36,曉,h,喉音,次清,送氣,17,江開2,ang,平,1,,,𨋪[夯],
80,握江,Øang1,胦,1.04江,12,胦,1,35,影,Ø,喉音,全清,發聲,17,江開2,ang,平,1,,,,
81,苦江,khang1,腔,1.04江,13,腔𤟄羫控椌悾跫涳崆𩩝㾤㼹,14,2,溪,kh,牙音,次清,送氣,17,江開2,ang,平,1,,,,
82,宅江,tang5,幢,1.04江,14,幢撞橦𣃘噇𩪘,8,11,澄,t,舌上音,全濁,,17,江開2,ang,平,5,,,,
83,丑江,thang1,憃,1.04江,15,憃䚎𥡟䄝𧜧,7,10,徹,th,舌上音,次清,送氣,17,江開2,ang,平,1,,,,
84,都江,tang1,樁,1.04江,16,樁𣻛,3,5,端,t,舌頭音,全清,發聲,17,江開2,ang,平,1,,,,
85,五江,gang5,㟅,1.04江,17,㟅,1,4,疑,g,牙音,次濁,收聲,17,江開2,ang,平,5,,,,
86,士江,cang5,淙,1.04江,18,淙鬃㼻𩞐,5,28,床,c,正齒近齒頭,全濁,,17,江開2,ang,平,5,,,,
87,章移,ci1,支,1.05支,1,支𥾣只汥㲍巵梔枝衹㽻衼肢胑𨈛禔馶氏疻㩼鳷䧴觶榰㯄𪂅𧌔眵䡋𩍲,34,30,照,c,正齒近舌上,全清,發聲,21,支開3,i,平,1,,,[巵/卮],
88,弋支,Øi5,移,1.05支,2,移䄬迻𠩗杝鉹袲箷𥠥㥴詑簃䔟熪扅衪暆迆𤝻栘歋酏匜拸謻𠗺蛇虵螔𠐀𣣢䬁,38,39,喻,Ø,喉音,次濁,發聲,21,支開3,i,平,5,,,[迆/迤],
89,薳支,Øi5,爲,1.05支,3,爲為潙䧦鄬𩻟,7,38,為,Ø,喉音,次濁,發聲,21,支開3,i,平,5,,,,
90,居爲,kui1,嬀,1.05支,4,嬀潙,2,1,見,k,牙音,全清,發聲,25,支合3,ui,平,1,,,(媯)(溈),
91,許爲,hui1,𪎮,1.05支,5,𪎮麾噅撝𩻟䧦,8,36,曉,h,喉音,次清,送氣,25,支合3,ui,平,1,,,,
92,於爲,Øui1,逶,1.05支,6,逶𣨙萎㮃覣蜲痿倭委䴧蟡,12,35,影,Ø,喉音,全清,發聲,25,支合3,ui,平,1,,,,
93,靡爲,mui5,糜,1.05支,7,糜縻㸏𪎕蘼䊳𪎭𦗕醿,12,16,明,m,重脣音,次濁,收聲,25,支合3,ui,平,5,,,,
94,許規,hui1,隓,1.05支,8,隓墮隳眭觿睢䜐鑴蘳,9,36,曉,h,喉音,次清,送氣,25,支合3,ui,平,1,！表字头后退,,,
95,直垂,tui5,鬌,1.05支,9,鬌錘甀,3,11,澄,t,舌上音,全濁,,25,支合3,ui,平,5,,,,
96,是爲,sui5,𡍮,1.05支,10,𡍮垂陲倕𦈼𨿠圌篅𥳙𠂹,15,34,禪,s,正齒近舌上,全濁,,25,支合3,ui,平,5,𠂹=⿱𠂹𠃌,末字Z𠂹𠃌,,
97,力爲,lui5,羸,1.05支,11,羸𡰠,3,40,來,l,半舌,次濁,收聲,25,支合3,ui,平,5,,,(𡰟),
98,昌垂,chui1,吹,1.05支,12,吹炊䶴,3,31,穿,ch,正齒近舌上,次清,送氣,25,支合3,ui,平,1,{表古文,,{龡,
99,敷羈,hi1,鈹,1.05支,13,鈹帔鮍披𤱍耚狓翍旇秛𤿎㱟,14,18,敷,h,輕脣音,次清,送氣,21,支開3,i,平,1,㿫=⿰比皮,,,
100,彼爲,pui1,陂,1.05支,14,陂詖碑羆𥀍𨰟𤜑𨧦𥶓襬藣,16,13,幫,p,重脣音,全清,發聲,25,支合3,ui,平,1,,,㗗㽡焷䴽錍,
101,旬爲,sui5,隨,1.05支,15,隨隋𥶻,4,25,邪,s,齒頭音,全濁,送氣,25,支合3,ui,平,5,,,,
102,去爲,khui1,虧,1.05支,16,虧,1,2,溪,kh,牙音,次清,送氣,25,支合3,ui,平,1,,,,
103,去隨,khui1,闚,1.05支,17,闚窺,2,2,溪,kh,牙音,次清,送氣,25,支合3,ui,平,1,,,,
104,渠羈,khi5,竒,1.05支,18,竒琦騎鵸弜鬾碕𢺷㩽錡,11,3,群,kh,牙音,全濁,,21,支開3,i,平,5,㩽原作⿰朿支,,[竒/奇],
105,巨支,khi5,祇,1.05支,19,祇示衹岐歧𨙸馶疧蚑忯䞚翄𢻚軝𩉬芪汥跂䲬蚑䉻𦭲伎𨱜𠁭,31,3,群,kh,牙音,全濁,,21,支開3,i,平,5,,,,
106,許羈,hi1,犧,1.05支,20,犧羲焁桸巇羛戲𤃪曦𢹍𧕆䚙䖒㺣𣤴𢨛㚀隵,23,36,曉,h,喉音,次清,送氣,21,支開3,i,平,1,19->18,,,
107,去奇,khi1,㩻,1.05支,21,㩻觭踦㱦崎𦖊碕𤘌㥓䗁攲,13,2,溪,kh,牙音,次清,送氣,21,支開3,i,平,1,,,[榿],
108,魚羈,gi5,宜,1.05支,22,宜宐𠣨㝖儀𥪺䣡䴊轙涯崖,13,4,疑,g,牙音,次濁,收聲,21,支開3,i,平,5,,,,
109,符羈,hi5,皮,1.05支,23,皮疲郫罷㯅犤,6,19,奉,h,輕脣音,全濁,,21,支開3,i,平,5,,,,
110,是支,si5,提,1.05支,24,提𦑡㖷匙䈕堤禔𦳚忯姼眂𣏚,15,34,禪,s,正齒近舌上,全濁,,21,支開3,i,平,5,,,,
111,汝移,ji5,兒,1.05支,25,兒𠒆唲婼,5,41,日,j,半齒,次濁,收聲,21,支開3,i,平,5,婼羌,,,
112,吕支,li5,離,1.05支,26,離籬醨罹璃酈𣀷驪𪖂樆鸝鵹𪅆縭褵蘺䕻麗离䍦㰚蠡䅻孋漓灕𧕯㷰𧕮攡黐矖穲𢟢𢥗謧劙,44,40,來,l,半舌,次濁,收聲,21,支開3,i,平,5,,,,
113,疾移,ci5,疵,1.05支,27,疵骴玼茈𣐑胔飺鴜,9,23,從,c,齒頭音,全濁,,21,支開3,i,平,5,,,,
114,即移,ci1,貲,1.05支,28,貲頿鴜𪕊鮆訾鄑㠿媊𨚖㰣鈭姕𦺱䖪觜,19,21,精,c,齒頭音,全清,發聲,21,支開3,i,平,1,,,[頿/頾髭],
115,居宜,ki1,羈,1.05支,29,羈畸羇掎攲竒㱦妓躸,9,1,見,k,牙音,全清,發聲,21,支開3,i,平,1,,,(奇),
116,府移,hi1,卑,1.05支,30,卑鵯椑箄裨鞞𩔹痺渒錍𢃍,13,17,非,h,輕脣音,全清,發聲,21,支開3,i,平,1,,,,
117,符支,hi5,陴,1.05支,31,陴𩫫焷脾䴽埤裨蜱𧓎螷蠯㯅郫𪌈紕,18,19,奉,h,輕脣音,全濁,,21,支開3,i,平,5,,,,
118,式支,si1,䌳,1.05支,32,䌳絁施葹䙾鍦鉈鸍𪓿䗐𧠜𢻫,15,33,審,s,正齒近舌上,全清,送氣,21,支開3,i,平,1,,,𦇲,
119,息移,si1,斯,1.05支,33,斯虒𩆵榹㴲廝㒋凘磃㾷傂謕鼶𪆁蟴㽄螔䫢䌳䔮菥𥕶蜤燍禠鐁,29,24,心,s,齒頭音,全清,送氣,21,支開3,i,平,1,,,,
120,楚宜,chi1,差,1.05支,34,差嵯𪙉縒,5,27,初,ch,正齒近齒頭,次清,送氣,21,支開3,i,平,1,,,,
121,丑知,thi1,摛,1.05支,35,摛螭誺魑黐㷰离𡴥彲,10,10,徹,th,舌上音,次清,送氣,21,支開3,i,平,1,,,,
122,武移,bi5,彌,1.05支,36,彌𢏏鸍镾䍘𨤐𥉓㣆獼𥸀擟麊冞㜷䥸𥎖瀰,22,20,微,b,輕脣音,次濁,收聲,21,支開3,i,平,5,,鸍誤作𪂕,,
123,此移,chi1,雌,1.05支,37,雌𦙼姕鈭𦍧,7,22,清,ch,齒頭音,次清,送氣,21,支開3,i,平,1,,,(胔）,
124,陟移,ti1,知,1.05支,38,知䵹鼅蜘䣽䝷,6,9,知,t,舌上音,全清,發聲,21,支開3,i,平,1,,,,
125,於離,Øi1,漪,1.05支,39,漪猗椅旖禕陭欹㾨犄𩕲檹,12,35,影,Ø,喉音,全清,發聲,21,支開3,i,平,1,,,,
126,直離,ti5,馳,1.05支,40,馳趍池簃篪䶵踟褫䪧䶔誃傂䞾,13,11,澄,t,舌上音,全濁,,21,支開3,i,平,5,14->13,,,
127,息爲,sui1,眭,1.05支,41,眭,1,24,心,s,齒頭音,全清,送氣,25,支合3,ui,平,1,,,,
128,魚爲,gui5,危,1.05支,42,危㕒洈峗,4,4,疑,g,牙音,次濁,收聲,25,支合3,ui,平,5,,,,
129,香支,hi1,詑,1.05支,43,詑焁,2,36,曉,h,喉音,次清,送氣,21,支開3,i,平,1,,,,
130,所宜,si1,釃,1.05支,44,釃簁欐襹褷𧕯籭,8,29,疏,s,正齒近齒頭,全清,發聲,21,支開3,i,平,1,,,(篩）,
131,山垂,sui1,䪎,1.05支,45,䪎䭨,2,29,疏,s,正齒近齒頭,全清,發聲,25,支合3,ui,平,1,,,,
132,人垂,jui5,痿,1.05支,46,痿䬐,2,41,日,j,半齒,次濁,收聲,25,支合3,ui,平,5,,,,
133,姊移,ci1,厜,1.05支,47,厜觜纗惢嫢㭰,6,21,精,c,齒頭音,全清,發聲,21,支開3,i,平,1,,,,
134,居隋,kui1,𩓸,1.05支,48,𩓸𩓡槻規鬹𨾚摫,10,1,見,k,牙音,全清,發聲,25,支合3,ui,平,1,,,,
135,遵爲,cui1,劑,1.05支,49,劑㭰𦸺臇𤎱㷷,8,21,精,c,齒頭音,全清,發聲,25,支合3,ui,平,1,,,,
136,楚危,chui1,衰,1.05支,50,衰夊,2,27,初,ch,正齒近齒頭,次清,送氣,25,支合3,ui,平,1,,,,
137,竹垂,tui1,腄,1.05支,51,腄箠㩾,3,9,知,t,舌上音,全清,發聲,25,支合3,ui,平,1,,,,
138,子垂,cui1,䮔,1.05支,52,䮔,1,21,精,c,齒頭音,全清,發聲,25,支合3,ui,平,1,,,,
139,叱支,chi1,眵,1.05支,53,眵䌳,2,31,穿,ch,正齒近舌上,次清,送氣,21,支開3,i,平,1,,,,
140,側移,ci1,齜,1.05支,54,齜,1,26,莊,c,正齒近齒頭,全清,發聲,21,支開3,i,平,1,,,,
141,匹支,phi1,𤿎,1.05支,55,𤿎,2,14,滂,ph,重脣音,次清,送氣,21,支開3,i,平,1,,,,
142,悅吹,Øui5,䔺,1.05支,56,䔺𩁌蠵欈𧲚䝐,8,39,喻,Ø,喉音,次濁,發聲,25,支合3,ui,平,5,,𩁌作H阝Z𢀡隹,,
143,士移,ci5,齹,1.05支,57,齹,1,28,床,c,正齒近齒頭,全濁,,21,支開3,i,平,5,,,,
144,旨夷,ci1,脂,1.06脂,1,脂祗汦砥栺鴲㴯疻䓜𥁼,11,30,照,c,正齒近舌上,全清,發聲,29,脂開3,i,平,1,,,,
145,以脂,Øi5,姨,1.06脂,2,姨彞寅夷峓恞眱𣟗珆蔩𡰥痍䧅荑桋蛦胰鮧羠羨鏔𢓡鴺𡱐跠洟,30,39,喻,Ø,喉音,次濁,發聲,29,脂開3,i,平,5,,,[彞/彝],
146,疏夷,si1,師,1.06脂,3,師鰤蒒篩獅螄,6,29,疏,s,正齒近齒頭,全清,發聲,29,脂開3,i,平,1,,,,
147,房脂,hi5,𣬈,1.06脂,4,𣬈毗比琵㮰芘沘貔豼膍肶蚍𧖈枇仳𨈚魮鈚𦳈𦊁阰𧑜鵧,29,19,奉,h,輕脣音,全濁,,29,脂開3,i,平,5,,,,
148,即夷,ci1,咨,1.06脂,5,咨資粢𪗉𪗋𧞓諮姿齍澬𣳩齎蒫𩆂𩄚,21,21,精,c,齒頭音,全清,發聲,29,脂開3,i,平,1,𩄠=⿱雨真,𩄚,,
149,居夷,ki1,飢,1.06脂,6,飢机肌虮,4,1,見,k,牙音,全清,發聲,29,脂開3,i,平,1,,,,
150,處脂,chi1,鴟,1.06脂,7,鴟𨾦鵄胵𩶅𧪡𨒬,11,31,穿,ch,正齒近舌上,次清,送氣,29,脂開3,i,平,1,,,,
151,丑飢,thi1,絺,1.06脂,8,絺辴郗𥭘脪瓻訵,8,10,徹,th,舌上音,次清,送氣,29,脂開3,i,平,1,,,,
152,取私,chi1,郪,1.06脂,9,郪趑𨌅趀𧾒𧠵𡰾𡳠蠀,14,22,清,ch,齒頭音,次清,送氣,29,脂開3,i,平,1,趀𡰾隷化从𡛷右,趀廣韻作L走V𠂔,,
153,疾資,ci5,茨,1.06脂,10,茨薋薺餈𩜴垐䆅𧓉瓷澬𥿆𨌅𩆂,18,23,從,c,齒頭音,全濁,,29,脂開3,i,平,5,,,餈(糍),
154,女夷,ni5,尼,1.06脂,11,尼柅怩蚭跜呢𩚯䝚,9,12,娘,n,舌上音,次濁,收聲,29,脂開3,i,平,5,,,,
155,直尼,ti5,墀,1.06脂,12,墀𡎰坻泜遲遟蚳岻彽阺荎菭謘莉貾,16,11,澄,t,舌上音,全濁,,29,脂開3,i,平,5,,,,
156,息夷,si1,私,1.06脂,13,私鋖厶𦮺㺨,6,24,心,s,齒頭音,全清,送氣,29,脂開3,i,平,1,,,鋖/(鐁）,
157,式之,si1,尸,1.06脂,14,尸鳲屍蓍,4,33,審,s,正齒近舌上,全清,送氣,37,之開3,i,平,1,,,,
158,渠脂,khi5,鬐,1.06脂,15,鬐𦓀耆愭𧡺𥉙䅲祁𨪌鰭鮨,15,3,群,kh,牙音,全濁,,29,脂開3,i,平,5,,,,
159,於脂,Øi1,伊,1.06脂,16,伊咿𧉅黝黟,6,35,影,Ø,喉音,全清,發聲,29,脂開3,i,平,1,,,,
160,力脂,li5,棃,1.06脂,17,棃梨𠠍秜蜊蔾犂刕𢤂鯬鑗䴻蟍𠠍,17,40,來,l,半舌,次濁,收聲,29,脂開3,i,平,5,,,𠠍(犁),
