識別號,廣韻韻母,雅俗通韻母,舒促聲,韻母拼音碼,韻母國際音標,韻母識別號,林進三拚音碼,,
129,麻開2舒聲,膠,舒聲,a,a,55,a,,
130,支開3舒聲,居,舒聲,i,i,57,i,,
131,脂開3舒聲,居,舒聲,i,i,57,i,,
132,之開3舒聲,居,舒聲,i,i,57,i,,
133,微開3舒聲,居,舒聲,i,i,57,i,,
134,魚開3舒聲,居,舒聲,i,i,57,ir,,
135,尤開3舒聲,丩,舒聲,iu,iu,59,iu,,
136,幽開3舒聲,丩,舒聲,iu,iu,59,iu,,
137,幽開3舒聲,丩,舒聲,iu,iu,59,ierk,,
138,侯開3舒聲,茄,舒聲,io,io,65,io,,
139,齊開4舒聲,伽,舒聲,e,e,77,e,,
140,祭開3舒聲,伽,舒聲,e,e,77,e,,
